"sensors_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
10;1389;333;2,78274799124193;0,239740820734341
20;2789;669;8,51352224518098;0,239870921477232
30;4168;772;12,4169857407218;0,185220729366603
40;5583;808;16,5792459536459;0,144725058212431
50;6904;721;18,9935243719543;0,104432213209733
60;8313;755;22,6861276309449;0,0908216047155058
70;9683;628;22,1657426537339;0,0648559330785913
80;11087;645;26,1573815203521;0,0581762424461081
90;12461;648;29,2944189666032;0,0520022470106733
100;13897;661;30,5264097209642;0,0475642224940635
