"sensors_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
10;1386;675;3,33277270990646;0,487012987012987
20;2785;400;3,72151611878261;0,143626570915619
30;4166;417;4,0771951023519;0,100096015362458
40;5530;496;5,24870561090011;0,0896925858951175
50;6939;258;4,55563788080905;0,0371811500216169
60;8367;719;9,43460611550156;0,0859328313613004
70;9678;618;9,50980325206847;0,0638561686298822
80;11112;339;11,6284723872879;0,0305075593952484
90;12514;810;15,5093657589721;0,0647275051941825
100;13862;620;12,6041226083504;0,0447265906795556
