"sensors_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
10;1369;497;3,29551556765952;0,363038714390066
20;2782;673;6,48011234840966;0,241912293314162
30;4207;595;7,95418666074661;0,141430948419301
40;5556;746;10,628854259628;0,134269258459323
50;6955;671;12,6090335056453;0,0964773544212797
60;8301;710;15,3289049617005;0,0855318636308878
70;9692;520;18,8053911818177;0,0536524969046636
80;11104;520;16,5620624925904;0,0468299711815562
90;12475;862;23,7066914794689;0,0690981963927856
100;13901;689;22,6076217061375;0,0495647795122653
