"sensors_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
10;1379;159;2,24503125649732;0,11530094271211
20;2776;311;7,2658472683764;0,112031700288184
30;4158;471;15,1199280403915;0,113275613275613
40;5535;631;25,7873492363348;0,114001806684734
50;6955;727;36,2227333386729;0,104529115744069
60;8316;665;39,4022430433387;0,07996632996633
70;9702;695;47,7361195852893;0,0716347144918573
80;11076;711;54,2903789317843;0,064192849404117
90;12480;743;62,955007468542;0,0595352564102564
100;13895;727;68,6873777936096;0,0523209787693415
