"sensors_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
10;1383;200;2,37468856937731;0,144613159797542
20;2778;400;7,59308046898727;0,143988480921526
30;4115;598;15,6330855334557;0,145321992709599
40;5528;779;25,8723455329495;0,140918958031838
50;6917;737;29,3247444194767;0,106549081971953
60;8336;757;35,7523482457441;0,0908109404990403
70;9755;757;42,5146745196939;0,0776012301383906
80;11044;678;43,0149806272011;0,0613908004346251
90;12502;759;51,8766948758951;0,0607102863541833
100;13871;657;51,5138189862082;0,0473650061278927
