"sensors_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
10;1399;251;2,53408481490633;0,179413867047891
20;2775;501;7,93123308170486;0,180540540540541
30;4161;750;16,2126837464868;0,180245133381399
40;5540;774;20,7797935201305;0,13971119133574
50;6897;754;24,6523175954641;0,109322894011889
60;8307;708;27,969366858484;0,0852293246659444
70;9747;683;30,9765939930191;0,0700728429260285
80;11058;638;32,7877429642745;0,0576957858563936
90;12455;611;34,1360195348434;0,0490566037735849
100;13886;670;40,659647008638;0,0482500360074896
