"network_size";"min_alpha";"max_alpha";"difference"
5;0,1;0,51;0,41
6;0,15;0,5;0,35
7;0,21;0,54;0,33
8;0,12;0,23;0,11
9;0,13;0,43;0,3
10;0,18;0,49;0,31
11;0,2;0,61;0,41
12;0,15;0,43;0,28
13;0,09;0,2;0,11
14;0,14;0,36;0,22
15;0,13;0,35;0,22
16;0,14;0,34;0,2
17;0,14;0,33;0,19
18;0,15;0,27;0,12
19;0,14;0,21;0,07
20;0,16;0,28;0,12
