"network_size";"min_alpha";"max_alpha";"difference"
5;0,1;0,52;0,42
6;0,09;0,52;0,43
7;0,07;0,53;0,46
8;0,05;0,54;0,49
9;0,02;0,52;0,5
10;0,02;0,64;0,62
11;-0,01;0,51;0,52
12;0,02;0,53;0,51
13;0,04;0,59;0,55
14;0,02;0,55;0,53
15;0,02;0,57;0,55
16;0,04;0,57;0,53
17;0,01;0,51;0,5
18;0,02;0,5;0,48
19;0,04;0,42;0,38
20;0,02;0,56;0,54
