"network_size";"min_alpha";"max_alpha";"difference"
5;0,19;1,73;1,54
6;0,23;1,5;1,27
7;0,16;1,32;1,16
8;0,18;1,37;1,19
9;0,18;1,41;1,23
10;0,13;1,32;1,19
11;0,15;1,34;1,19
12;0,15;1,52;1,37
13;0,19;1,51;1,32
14;0,16;1,35;1,19
15;0,2;1,36;1,16
16;0,23;1,34;1,11
17;0,25;1,25;1
18;0,25;1,29;1,04
19;0,3;1,41;1,11
20;0,31;1,24;0,93
