"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;34;1856
2;2;111;6202
3;3;149;8289
4;4;152;8421
5;5;124;6886
6;6;87;4831
7;7;56;3122
8;8;56;3108
9;9;66;3649
10;10;108;5960
11;11;143;7942
12;12;152;8410
13;13;138;7633
14;14;90;4982
15;15;52;2854
16;16;56;3128
17;17;71;3947
18;18;113;6300
19;19;138;7679
20;20;139;7707
21;21;121;6718
22;22;57;3177
23;23;18;997
24;24;10;565
25;25;16;905
26;26;66;3669
27;27;92;5128
28;28;94;5231
29;29;75;4156
30;30;31;1724
31;31;8;459
32;32;29;1627
33;33;70;3889
34;34;112;6221
35;35;137;7604
36;36;144;7981
37;37;132;7330
38;38;87;4834
39;39;52;2885
40;40;50;2758
41;41;70;3892
42;42;125;6923
43;43;151;8403
44;44;150;8263
45;45;125;6923
46;46;88;4867
47;47;56;3109
48;48;56;3101
49;49;66;3674
50;50;109;6095
51;51;145;8063
52;52;136;7564
53;53;103;5720
54;54;48;2635
55;55;2;112
56;56;6;324
57;57;22;1210
58;58;62;3448
59;59;89;4924
60;60;89;4927
61;61;81;4494
62;62;46;2546
63;63;34;1882
64;64;49;2717
65;65;56;3130
66;66;112;6199
67;67;141;7834
68;68;145;8015
69;69;125;6940
70;70;81;4499
71;71;59;3295
72;72;67;3725
73;73;81;4531
74;74;116;6441
75;75;138;7617
76;76;144;7985
77;77;130;7243
78;78;86;4789
79;79;52;2893
80;80;50;2771
81;81;71;3927
82;82;124;6889
83;83;134;7439
84;84;111;6130
85;85;85;4735
86;86;38;2136
87;87;7;386
88;88;4;222
89;89;16;875
90;90;58;3220
91;91;95;5283
92;92;105;5828
93;93;96;5328
94;94;49;2711
95;95;31;1727
96;96;45;2532
97;97;66;3666
98;98;112;6199
99;99;138;7692
100;100;140;7800
101;101;131;7274
102;102;94;5214
103;103;67;3710
104;104;60;3336
105;105;66;3654
106;106;113;6307
107;107;143;7931
108;108;146;8072
109;109;124;6920
110;110;81;4492
111;111;57;3198
112;112;65;3584
113;113;75;4149
114;114;108;6007
115;115;109;6054
116;116;104;5796
117;117;84;4676
118;118;36;1975
119;119;2;107
120;120;0;0
121;121;22;1220
122;122;72;3977
123;123;105;5811
124;124;101;5600
125;125;82;4573
126;126;50;2774
127;127;46;2532
128;128;46;2548
129;129;65;3619
130;130;108;6049
131;131;145;8046
132;132;155;8600
133;133;140;7748
134;134;92;5117
135;135;52;2876
136;136;56;3118
137;137;71;3905
138;138;113;6258
139;139;137;7597
140;140;140;7816
141;141;131;7322
142;142;96;5335
143;143;66;3670
144;144;60;3323
145;145;59;3312
146;146;103;5726
147;147;105;5842
148;148;105;5838
149;149;76;4216
150;150;31;1745
151;151;7;390
152;152;17;935
153;153;33;1839
154;154;68;3771
155;155;89;4948
156;156;101;5622
157;157;99;5506
158;158;69;3878
159;159;50;2767
160;160;50;2737
161;161;73;4063
162;162;123;6835
163;163;151;8353
164;164;151;8397
165;165;124;6876
166;166;89;4981
167;167;56;3107
168;168;55;3062
169;169;66;3670
170;170;108;6021
171;171;141;7859
172;172;157;8682
173;173;139;7748
174;174;90;4978
175;175;52;2877
176;176;50;2761
177;177;52;2875
178;178;79;4399
179;179;91;5061
180;180;89;4938
181;181;81;4507
182;182;46;2526
183;183;16;892
184;184;11;604
185;185;16;907
186;186;63;3498
187;187;92;5075
188;188;116;6452
189;189;108;5967
190;190;82;4567
191;191;56;3095
192;192;68;3792
193;193;80;4471
194;194;117;6488
195;195;136;7592
196;196;145;8044
197;197;128;7105
198;198;87;4847
199;199;52;2887
200;200;51;2845
201;201;71;3955
202;202;120;6669
203;203;151;8350
204;204;147;8151
205;205;124;6870
206;206;89;4929
207;207;57;3177
208;208;34;1873
209;209;32;1781
210;210;58;3255
211;211;93;5148
212;212;108;5980
213;213;90;4995
214;214;41;2271
215;215;2;114
216;216;6;334
217;217;21;1177
218;218;66;3661
219;219;102;5694
220;220;126;7000
221;221;131;7273
222;222;95;5308
223;223;67;3731
224;224;59;3252
225;225;65;3627
226;226;112;6235
227;227;143;7953
228;228;144;7976
229;229;125;6950
230;230;82;4565
231;231;57;3159
232;232;65;3573
233;233;79;4402
234;234;118;6524
235;235;135;7451
236;236;145;8022
237;237;129;7173
238;238;83;4594
239;239;38;2122
240;240;14;782
241;241;23;1273
242;242;73;4059
243;243;102;5640
244;244;100;5526
245;245;75;4150
246;246;36;1999
247;247;6;328
248;248;6;335
249;249;26;1447
250;250;75;4148
251;251;130;7160
252;252;152;8468
253;253;135;7511
254;254;94;5260
255;255;52;2884
256;256;56;3119
257;257;70;3906
258;258;112;6204
259;259;137;7584
260;260;138;7676
261;261;130;7144
262;262;96;5295
263;263;65;3594
264;264;62;3462
265;265;65;3604
266;266;111;6110
267;267;144;7978
268;268;145;8057
269;269;114;6309
270;270;65;3623
271;271;19;1057
272;272;14;771
273;273;30;1690
274;274;70;3882
275;275;88;4882
276;276;97;5418
277;277;79;4376
278;278;37;2076
279;279;10;554
280;280;11;606
281;281;49;2702
282;282;116;6461
283;283;150;8316
284;284;149;8231
285;285;124;6867
286;286;88;4895
287;287;57;3195
288;288;54;3004
289;289;66;3668
290;290;108;5945
291;291;143;7963
292;292;153;8472
293;293;141;7790
294;294;92;5071
295;295;52;2902
296;296;55;3063
297;297;71;3916
298;298;113;6276
299;299;129;7183
300;300;127;7062
301;301;105;5847
302;302;53;2918
303;303;16;882
304;304;11;610
305;305;16;879
306;306;64;3546
307;307;93;5143
308;308;94;5183
309;309;75;4141
310;310;31;1713
311;311;21;1162
312;312;37;2066
313;313;68;3784
314;314;119;6586
315;315;137;7595
316;316;147;8134
317;317;129;7162
318;318;85;4697
319;319;52;2921
320;320;50;2771
321;321;73;4016
322;322;122;6823
323;323;154;8536
324;324;149;8294
325;325;125;6895
326;326;86;4751
327;327;57;3155
328;328;54;3012
329;329;66;3672
330;330;108;5999
331;331;131;7249
332;332;135;7486
333;333;105;5821
334;334;42;2307
335;335;2;111
336;336;6;325
337;337;21;1151
338;338;62;3423
339;339;88;4883
340;340;90;4981
341;341;85;4700
342;342;60;3345
343;343;37;2047
344;344;42;2337
345;345;65;3616
346;346;114;6327
347;347;143;7915
348;348;145;8085
349;349;126;7004
350;350;81;4526
351;351;60;3340
352;352;66;3638
353;353;83;4638
354;354;120;6644
355;355;138;7617
356;356;144;7978
357;357;130;7220
358;358;86;4777
359;359;52;2884
360;360;50;2784
361;361;68;3804
362;362;109;6020
363;363;128;7112
364;364;120;6653
365;365;75;4183
366;366;36;1992
367;367;6;338
368;368;5;289
369;369;16;894
370;370;58;3226
371;371;94;5214
372;372;110;6136
373;373;108;6014
374;374;61;3396
375;375;29;1635
376;376;53;2923
377;377;70;3895
378;378;111;6134
379;379;137;7622
380;380;139;7703
381;381;128;7118
382;382;98;5411
383;383;66;3686
384;384;61;3363
385;385;66;3667
386;386;114;6340
387;387;141;7814
388;388;144;7973
389;389;126;7001
390;390;82;4583
391;391;58;3244
392;392;62;3433
393;393;60;3325
394;394;99;5493
395;395;112;6224
396;396;97;5405
397;397;80;4423
398;398;36;1991
399;399;2;106
400;400;0;0
401;401;23;1278
402;402;74;4111
403;403;121;6727
404;404;123;6828
405;405;96;5284
406;406;77;4291
407;407;58;3228
408;408;55;3068
409;409;66;3696
410;410;108;5973
411;411;143;7932
412;412;153;8476
413;413;143;7889
414;414;91;5072
415;415;52;2875
416;416;56;3094
417;417;70;3886
418;418;114;6344
419;419;137;7590
420;420;140;7769
421;421;132;7309
422;422;96;5351
423;423;49;2701
424;424;40;2220
425;425;45;2484
426;426;73;4080
427;427;91;5039
428;428;95;5246
429;429;75;4125
430;430;31;1727
431;431;9;493
432;432;12;662
433;433;29;1635
434;434;70;3875
435;435;108;6002
436;436;115;6430
437;437;114;6328
438;438;87;4824
439;439;52;2883
440;440;50;2773
441;441;71;3899
442;442;123;6810
443;443;150;8372
444;444;151;8345
445;445;124;6894
446;446;87;4813
447;447;57;3139
448;448;55;3059
449;449;66;3681
450;450;108;5994
451;451;147;8190
452;452;152;8390
453;453;138;7643
454;454;88;4885
455;455;32;1778
456;456;35;1946
457;457;37;2048
458;458;63;3553
459;459;88;4912
460;460;90;4953
461;461;82;4521
462;462;47;2611
463;463;15;847
464;464;12;660
465;465;28;1556
466;466;83;4633
467;467;114;6317
468;468;128;7093
469;469;125;6938
470;470;82;4523
471;471;58;3237
472;472;66;3652
473;473;80;4445
474;474;117;6503
475;475;136;7541
476;476;145;8047
477;477;128;7091
478;478;87;4798
479;479;52;2902
480;480;50;2779
481;481;71;3920
482;482;123;6792
483;483;151;8400
484;484;145;8040
485;485;114;6278
486;486;66;3688
487;487;36;2028
488;488;22;1220
489;489;16;885
490;490;58;3240
491;491;93;5163
492;492;107;5958
493;493;89;4896
494;494;42;2351
495;495;2;108
496;496;13;726
497;497;39;2163
498;498;90;4998
499;499;125;6945
500;500;135;7474
501;501;130;7208
502;502;96;5322
503;503;66;3661
504;504;66;3652
505;505;66;3654
506;506;112;6228
507;507;142;7864
508;508;143;7942
509;509;125;6949
510;510;82;4588
511;511;59;3288
512;512;65;3620
513;513;81;4509
514;514;119;6599
515;515;137;7632
516;516;139;7770
517;517;113;6260
518;518;58;3223
519;519;14;762
520;520;5;278
521;521;23;1290
522;522;74;4122
523;523;103;5746
524;524;100;5516
525;525;75;4168
526;526;44;2468
527;527;16;870
528;528;25;1375
529;529;38;2134
530;530;88;4877
531;531;131;7325
532;532;151;8368
533;533;140;7753
534;534;90;4989
535;535;52;2871
536;536;56;3093
537;537;71;3892
538;538;113;6261
539;539;138;7680
540;540;139;7697
541;541;131;7270
542;542;96;5330
543;543;67;3731
544;544;59;3266
545;545;66;3681
546;546;108;5965
547;547;132;7346
548;548;126;7044
549;549;102;5640
550;550;51;2840
551;551;22;1213
552;552;18;992
553;553;30;1670
554;554;67;3709
555;555;88;4870
556;556;99;5517
557;557;88;4877
558;558;45;2503
559;559;20;1109
560;560;20;1121
561;561;46;2583
562;562;105;5813
563;563;144;7992
564;564;145;8037
565;565;124;6869
566;566;87;4813
567;567;57;3150
568;568;56;3113
569;569;66;3647
570;570;109;6066
571;571;140;7787
572;572;154;8549
573;573;139;7705
574;574;92;5127
575;575;52;2885
576;576;53;2920
577;577;61;3379
578;578;102;5682
579;579;121;6726
580;580;120;6672
581;581;108;6005
582;582;64;3577
583;583;28;1542
584;584;12;668
585;585;16;880
586;586;65;3609
587;587;93;5142
588;588;105;5796
589;589;85;4733
