"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;2;112
2;2;18;999
3;3;39;2193
4;4;40;2187
5;5;34;1888
6;6;18;1001
7;7;10;555
8;8;10;556
9;9;11;615
10;10;22;1208
11;11;31;1726
12;12;36;1967
13;13;39;2141
14;14;29;1633
15;15;14;771
16;16;10;559
17;17;11;613
18;18;22;1217
19;19;30;1662
20;20;30;1641
21;21;30;1666
22;22;22;1210
23;23;10;555
24;24;12;678
25;25;5;273
26;26;12;667
27;27;20;1096
28;28;20;1111
29;29;19;1050
30;30;8;438
31;31;1;54
32;32;6;342
33;33;11;616
34;34;34;1864
35;35;34;1899
36;36;30;1664
37;37;29;1618
38;38;18;991
39;39;10;556
40;40;10;558
41;41;12;669
42;42;28;1546
43;43;39;2160
44;44;39;2177
45;45;34;1864
46;46;18;1009
47;47;10;562
48;48;10;558
49;49;11;606
50;50;22;1224
51;51;31;1726
52;52;35;1946
53;53;39;2180
54;54;18;992
55;55;5;288
56;56;0;0
57;57;1;58
58;58;12;670
59;59;20;1112
60;60;20;1109
61;61;20;1115
62;62;14;792
63;63;9;505
64;64;16;886
65;65;16;901
66;66;22;1235
67;67;30;1664
68;68;30;1679
69;69;29;1597
70;70;18;997
71;71;11;610
72;72;15;840
73;73;23;1284
74;74;31;1728
75;75;34;1886
76;76;30;1672
77;77;29;1601
78;78;18;1005
79;79;10;560
80;80;10;542
81;81;12;665
82;82;29;1611
83;83;39;2135
84;84;33;1810
85;85;23;1290
86;86;8;445
87;87;0;0
88;88;0;0
89;89;1;55
90;90;12;679
91;91;21;1172
92;92;25;1372
93;93;28;1553
94;94;17;942
95;95;6;337
96;96;9;497
97;97;11;612
98;98;22;1228
99;99;30;1672
100;100;30;1682
101;101;30;1668
102;102;24;1323
103;103;19;1047
104;104;20;1128
105;105;14;777
106;106;22;1226
107;107;30;1673
108;108;30;1684
109;109;29;1625
110;110;18;1000
111;111;11;618
112;112;15;824
113;113;20;1100
114;114;32;1782
115;115;35;1929
116;116;21;1177
117;117;19;1045
118;118;8;438
119;119;0;0
120;120;0;0
121;121;2;106
122;122;19;1063
123;123;30;1654
124;124;30;1665
125;125;24;1353
126;126;17;930
127;127;10;551
128;128;10;560
129;129;11;617
130;130;22;1214
131;131;31;1717
132;132;36;2013
133;133;41;2279
134;134;28;1558
135;135;14;770
136;136;10;550
137;137;11;605
138;138;22;1221
139;139;30;1650
140;140;30;1654
141;141;30;1667
142;142;24;1307
143;143;18;1016
144;144;20;1121
145;145;16;893
146;146;13;711
147;147;20;1102
148;148;20;1100
149;149;19;1042
150;150;8;432
151;151;1;52
152;152;6;334
153;153;10;547
