"sensors_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
10;1389;333;0,239740820734341;2,78274799124193;0,531909097659
20;2789;669;0,239870921477232;8,51352224518098;1,0444558662511
30;4168;772;0,185220729366603;12,4169857407218;1,1613786286314
40;5583;808;0,144725058212431;16,5792459536459;1,2442639592269
50;6904;721;0,104432213209733;18,9935243719543;1,1290507011357
60;8313;755;0,0908216047155058;22,6861276309449;1,188333534984
70;9683;628;0,0648559330785913;22,1657426537339;0,95556772465978
80;11087;645;0,0581762424461081;26,1573815203521;1,0213084765386
90;12461;648;0,0520022470106733;29,2944189666032;0,98731234106295
100;13897;661;0,0475642224940635;30,5264097209642;0,95520254352497
