"sensors_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
10;1383;200;0,144613159797542;2,37468856937731;0,38887507807035
20;2778;400;0,143988480921526;7,59308046898727;0,75605732750717
30;4115;598;0,145321992709599;15,6330855334557;1,1196553623563
40;5528;779;0,140918958031838;25,8723455329495;1,4498269016019
50;6917;737;0,106549081971953;29,3247444194767;1,3526191478338
60;8336;757;0,0908109404990403;35,7523482457441;1,3995341723325
70;9755;757;0,0776012301383906;42,5146745196939;1,4290622227853
80;11044;678;0,0613908004346251;43,0149806272011;1,2365098138653
90;12502;759;0,0607102863541833;51,8766948758951;1,3381851510359
100;13871;657;0,0473650061278927;51,5138189862082;1,2456218928843
