"sensors_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
10;1379;159;0,11530094271211;2,24503125649732;0,34128837166091
20;2776;311;0,112031700288184;7,2658472683764;0,65351915355992
30;4158;471;0,113275613275613;15,1199280403915;0,97308230949295
40;5535;631;0,114001806684734;25,7873492363348;1,2920202088771
50;6955;727;0,104529115744069;36,2227333386729;1,4778897180677
60;8316;665;0,07996632996633;39,4022430433387;1,3615651777501
70;9702;695;0,0716347144918573;47,7361195852893;1,4057618315604
80;11076;711;0,064192849404117;54,2903789317843;1,4559348147282
90;12480;743;0,0595352564102564;62,955007468542;1,4727294981796
100;13895;727;0,0523209787693415;68,6873777936096;1,4759341839727
