"sensors_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
10;1391;130;0,0934579439252336;2,14404751351402;0,30735970466808
20;2767;260;0,093964582580412;7,07686289289084;0,59340681464564
30;4159;390;0,0937725414763164;14,8197464424099;0,87945352815998
40;5523;515;0,0932464240449031;25,3064985994981;1,1569331448078
50;6931;642;0,092627326504112;38,5556908675173;1,4397901064961
60;8320;708;0,0850961538461538;49,3482858049078;1,559670209954
70;9721;694;0,0713918321160374;56,3124421866662;1,5429060825139
80;11105;668;0,060153084196308;62,8966098106551;1,503567382923
90;12469;681;0,054615446306841;71,2026115234518;1,4916598759491
100;13869;681;0,0491023145143846;79,0164054670614;1,499666570726
