"sensors_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
10;1399;251;0,179413867047891;2,53408481490633;0,44363978478616
20;2775;501;0,180540540540541;7,93123308170486;0,86349818225324
30;4161;750;0,180245133381399;16,2126837464868;1,2833906111345
40;5540;774;0,13971119133574;20,7797935201305;1,2899499905803
50;6897;754;0,109322894011889;24,6523175954641;1,249750242177
60;8307;708;0,0852293246659444;27,969366858484;1,1963272898042
70;9747;683;0,0700728429260285;30,9765939930191;1,1279095220814
80;11058;638;0,0576957858563936;32,7877429642745;1,0433710909338
90;12455;611;0,0490566037735849;34,1360195348434;0,99651953300426
100;13886;670;0,0482500360074896;40,659647008638;1,1332719989224
