"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;142;3545
2;2;234;5965
3;3;239;5983
4;4;255;6372
5;5;230;5114
6;6;200;3876
7;7;200;3891
8;8;201;3913
9;9;199;3894
10;10;201;3930
11;11;187;3611
12;12;166;3082
13;13;159;2979
14;14;149;2744
15;15;140;2539
16;16;140;2525
17;17;140;2517
18;18;140;2535
19;19;140;2509
20;20;185;4263
21;21;219;5559
22;22;220;5559
23;23;220;5556
24;24;173;3789
25;25;139;2511
26;26;140;2533
27;27;141;2561
28;28;140;2527
29;29;140;2546
30;30;140;2515
31;31;139;2501
32;32;140;2524
33;33;139;2515
34;34;140;2514
35;35;140;2511
36;36;140;2519
37;37;140;2516
38;38;140;2497
39;39;186;4283
40;40;217;5452
41;41;227;5725
42;42;247;6153
43;43;213;4684
44;44;193;3803
45;45;199;3882
46;46;199;3910
47;47;200;3893
48;48;200;3875
49;49;199;3913
50;50;201;3914
51;51;188;3636
52;52;166;3114
53;53;160;2982
54;54;148;2685
55;55;140;2504
56;56;140;2492
57;57;141;2543
58;58;181;4167
59;59;222;5627
60;60;217;5536
61;61;221;5584
62;62;171;3723
63;63;140;2529
64;64;140;2505
65;65;140;2508
66;66;140;2494
67;67;140;2537
68;68;140;2509
69;69;140;2502
70;70;140;2512
71;71;140;2500
72;72;141;2519
73;73;139;2493
74;74;140;2529
75;75;140;2529
76;76;140;2515
77;77;184;4219
78;78;218;5505
79;79;220;5573
80;80;217;5484
81;81;182;3978
82;82;175;3297
83;83;180;3448
84;84;191;3691
85;85;200;3906
86;86;200;3895
87;87;200;3919
88;88;200;3915
89;89;200;3908
90;90;200;3880
91;91;189;3646
92;92;166;3097
93;93;161;2978
94;94;147;2693
95;95;141;2555
96;96;183;4245
97;97;220;5544
98;98;214;5383
99;99;217;5475
100;100;173;3757
101;101;140;2543
102;102;140;2559
103;103;141;2541
104;104;139;2507
105;105;140;2506
106;106;141;2525
107;107;140;2501
108;108;140;2512
109;109;138;2491
110;110;140;2533
111;111;141;2535
112;112;140;2529
113;113;139;2488
114;114;140;2521
115;115;187;4310
116;116;214;5415
117;117;212;5385
118;118;221;5595
119;119;172;3752
120;120;141;2530
121;121;150;2778
