"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;43;902
2;2;60;1272
3;3;67;1410
4;4;80;1648
5;5;80;1641
6;6;83;1695
7;7;101;2013
8;8;119;2750
9;9;121;2775
10;10;120;2780
11;11;93;2117
12;12;60;1069
13;13;60;1066
14;14;60;1096
15;15;61;1095
16;16;59;1057
17;17;61;1095
18;18;59;1042
19;19;61;1096
20;20;59;1063
21;21;61;1093
22;22;60;1077
23;23;60;1085
24;24;59;1071
25;25;60;1087
26;26;61;1110
27;27;81;1841
28;28;79;1809
29;29;80;1831
30;30;79;1788
31;31;60;1088
32;32;60;1092
33;33;61;1117
34;34;60;1069
35;35;60;1100
36;36;59;1075
37;37;60;1082
38;38;61;1106
39;39;60;1087
40;40;60;1083
41;41;85;1647
42;42;100;2005
43;43;100;2005
44;44;100;2004
45;45;101;2032
46;46;120;2757
47;47;120;2760
48;48;119;2737
49;49;120;2732
50;50;99;1981
51;51;76;1450
52;52;60;1088
53;53;59;1057
54;54;60;1109
55;55;61;1111
56;56;60;1094
57;57;59;1062
58;58;61;1098
59;59;60;1068
60;60;59;1070
61;61;61;1089
62;62;60;1069
63;63;60;1081
64;64;61;1116
65;65;79;1830
66;66;81;1860
67;67;79;1817
68;68;80;1821
69;69;60;1079
70;70;60;1090
71;71;60;1079
72;72;59;1060
73;73;61;1109
74;74;60;1075
75;75;59;1071
76;76;60;1072
77;77;61;1094
78;78;60;1084
79;79;60;1089
80;80;60;1073
81;81;85;1652
82;82;100;2007
83;83;101;2052
84;84;120;2760
85;85;120;2764
86;86;120;2757
87;87;118;2696
88;88;101;2021
89;89;100;2010
90;90;100;1988
91;91;74;1402
92;92;60;1060
93;93;61;1095
94;94;59;1050
95;95;61;1113
96;96;60;1087
97;97;59;1077
98;98;61;1080
99;99;59;1045
100;100;61;1080
101;101;60;1073
102;102;61;1106
103;103;80;1829
104;104;80;1866
105;105;80;1849
106;106;79;1801
107;107;60;1075
108;108;59;1047
109;109;61;1106
110;110;60;1070
111;111;60;1061
112;112;60;1082
113;113;59;1045
114;114;61;1098
115;115;59;1056
116;116;61;1099
117;117;60;1078
118;118;60;1080
119;119;60;1086
120;120;60;1076
121;121;86;1690
122;122;120;2774
123;123;120;2746
124;124;120;2766
125;125;118;2698
126;126;101;2019
127;127;100;2009
128;128;100;2008
129;129;99;1976
130;130;101;2005
131;131;74;1417
132;132;60;1089
133;133;61;1101
134;134;59;1050
135;135;60;1073
136;136;61;1092
137;137;60;1058
138;138;60;1084
139;139;60;1081
140;140;61;1110
141;141;79;1821
142;142;81;1861
143;143;79;1830
144;144;79;1794
145;145;60;1085
146;146;61;1109
147;147;59;1047
148;148;61;1114
149;149;60;1078
150;150;59;1090
151;151;60;1091
152;152;60;1080
153;153;61;1092
154;154;60;1091
155;155;59;1057
156;156;60;1070
157;157;61;1109
158;158;60;1071
159;159;61;1124
160;160;79;1850
161;161;106;2441
162;162;120;2755
163;163;119;2718
164;164;99;1996
165;165;101;2011
166;166;100;1996
167;167;99;1995
168;168;100;2004
169;169;101;2026
170;170;100;1997
171;171;74;1432
172;172;60;1067
173;173;61;1090
174;174;60;1078
175;175;59;1059
176;176;60;1091
177;177;61;1110
178;178;61;1113
179;179;79;1822
180;180;80;1856
181;181;81;1856
182;182;79;1802
183;183;59;1060
184;184;60;1086
185;185;61;1085
186;186;60;1066
187;187;60;1090
188;188;60;1078
189;189;60;1092
190;190;60;1073
191;191;59;1075
192;192;60;1091
193;193;61;1109
194;194;60;1078
195;195;59;1073
196;196;60;1085
197;197;62;1145
198;198;80;1823
199;199;80;1840
200;200;79;1826
201;201;105;2395
202;202;100;1992
203;203;100;1992
204;204;100;2000
205;205;99;2007
206;206;100;1998
207;207;101;2004
208;208;100;2018
209;209;100;2005
210;210;100;1989
211;211;75;1424
