"N";"Hs";"Hrs";"He";"Hal";"Ht"
5;0,429524821097358;0,423849307641786;0,453837516706173;0,402482354666833;0,528812481088788
6;0,377413610112925;0,397521069775014;0,440777569759442;0,379350456815289;0,528812481088788
7;0,410546391385245;0,418040897945536;0,448239876114015;0,401834127366532;0,528812481088788
8;0,336120941317159;0,342166035318971;0,375369554094485;0,324043500100669;0,528812481088788
9;0,489039434870126;0,498910075152741;0,469511748699992;0,424772452993693;0,528812481088788
10;0,422669768488868;0,436645809180772;0,42790530530511;0,38377716575241;0,528812481088788
11;0,387734545461876;0,394598647395123;0,428831286470619;0,379335760633389;0,528812481088788
12;0,432441597593364;0,435934806868918;0,390768994871285;0,339192796358892;0,528812481088788
13;0,433072489628518;0,445949949596189;0,468702207567553;0,417498092678884;0,528812481088788
14;0,42438869137151;0,452520732814069;0,462019433803625;0,41694362079295;0,528812481088788
15;0,40816892840734;0,394140009283433;0,400100162227321;0,355436763316345;0,528812481088788
16;0,364309715413845;0,363544561644887;0,398695269115678;0,346394913240433;0,528812481088788
17;0,375216330459506;0,412094562441063;0,406592261101638;0,357437641358025;0,528812481088788
18;0,359399977615908;0,354702937986054;0,377039336971232;0,319364146415383;0,528812481088788
19;0,366237739710229;0,369843142917724;0,409516505537945;0,351631652814832;0,528812481088788
20;0,43609043933093;0,420423353802149;0,421690423297396;0,376225761053907;0,528812481088788
