"N";"Hs";"Hrs";"He";"Hal";"Ht"
5;0,372174977693838;0,268651083922197;0,268482873635294;0,240267364911469;0,528812481088788
6;0,360501341599184;0,253066305527463;0,272404267016922;0,244228692810575;0,528812481088788
7;0,358220219290387;0,24486442135926;0,267394943939993;0,237603393845106;0,528812481088788
8;0,368531930162291;0,279537415236982;0,300445523021598;0,269254107438235;0,528812481088788
9;0,380819925622927;0,267121904216607;0,250326005465371;0,223069332086602;0,528812481088788
10;0,362944958208948;0,198638772334777;0,160154549757474;0,143042259346876;0,528812481088788
11;0,379668480170745;0,275744580301834;0,270442396657903;0,241562013253871;0,528812481088788
12;0,329442588050739;0,216309272654516;0,251077879102023;0,224009820114473;0,528812481088788
13;0,39529730928285;0,28356189833176;0,300561728495083;0,269117837519808;0,528812481088788
14;0,317032248034516;0,215260189554288;0,260936191740562;0,232385367600651;0,528812481088788
15;0,316087329188445;0,199051096857888;0,242376209626387;0,215645570776218;0,528812481088788
16;0,345462032060284;0,22145490600683;0,228510677664547;0,203431828011699;0,528812481088788
17;0,343791689523901;0,235127634850779;0,249753527302755;0,22257577830688;0,528812481088788
18;0,312625127122585;0,2008880979691;0,232645110276589;0,206645465774408;0,528812481088788
19;0,357428336620835;0,238211610666097;0,242368219779471;0,215822499735099;0,528812481088788
20;0,314746981109339;0,195263546690012;0,205850638157159;0,182118740400401;0,528812481088788
