"N";"Hs";"Hrs";"He";"Hal";"Ht"
5;0,337719702018665;0,238513645551951;0,251320140629128;0,220807333351283;0,528812481088788
6;0,357794869266424;0,262539884526276;0,264316700763887;0,232296626841734;0,528812481088788
7;0,294243703669256;0,185068296310529;0,206212229093044;0,180150443120903;0,528812481088788
8;0,324196418083989;0,208869294385808;0,201248581567704;0,176294915993305;0,528812481088788
9;0,340781225290051;0,231939143748228;0,215651371889826;0,189154406523438;0,528812481088788
10;0,333745530689197;0,213165489362238;0,174151708006981;0,15294247272606;0,528812481088788
11;0,364521141713391;0,2538863755615;0,229260404967125;0,201080947387526;0,528812481088788
12;0,273844654792106;0,163492731203309;0,158017558883017;0,136016076437173;0,528812481088788
13;0,309234728613842;0,19979021391213;0,189820754414697;0,163602611343961;0,528812481088788
14;0,300858358760847;0,197931531427031;0,187169845383246;0,160619185452832;0,528812481088788
15;0,26927428638124;0,167455279486142;0,171207806899518;0,147046820941018;0,528812481088788
16;0,29600515989124;0,196701475160339;0,203812131486535;0,17662790352017;0,528812481088788
17;0,314367649792682;0,193481748098965;0,161187950057902;0,140023211471079;0,528812481088788
18;0,299026977006616;0,193095479338248;0,17351682134783;0,149182445233924;0,528812481088788
19;0,275537794586365;0,165227102803966;0,149008016964125;0,127878040863993;0,528812481088788
20;0,292205532984028;0,184654225612724;0,176908055222653;0,153001452460687;0,528812481088788
