"N";"Hs";"Hrs";"He";"Hal";"Ht"
5;0,367350219113658;0,18855916372183;0,0565368498123884;0,0542684859273538;0,528812481088788
6;0,387661130871208;0,205913090436442;0,0710358930513553;0,067936103321629;0,528812481088788
7;0,350997374201471;0,178754344659309;0,0656197681944123;0,0624650478171241;0,528812481088788
8;0,364312340596378;0,192594938624979;0,0657762120296683;0,0626512134019147;0,528812481088788
9;0,362300506417315;0,188550554158673;0,0617546757835839;0,0591166612822407;0,528812481088788
10;0,342213649213519;0,163693583969176;0,0682041076336163;0,0644445273406686;0,528812481088788
11;0,353927891766644;0,18227078239012;0,0732066307745526;0,0695566888007836;0,528812481088788
12;0,354145682348736;0,181605681659441;0,0698718983092586;0,0664328724470428;0,528812481088788
13;0,377666933331944;0,207947687875519;0,0904068682013074;0,0861061162542184;0,528812481088788
14;0,384781703574534;0,225360036201326;0,141060598890725;0,132780670380468;0,528812481088788
15;0,401697683029766;0,252526685528829;0,177304768681222;0,167852341284627;0,528812481088788
16;0,412713155691437;0,266145087626053;0,198030342928172;0,187855154000862;0,528812481088788
17;0,427473097154924;0,286753186120938;0,234610125319987;0,222446403815619;0,528812481088788
18;0,426689035410303;0,298693040458782;0,275913793636491;0,26142584950282;0,528812481088788
19;0,442499358927643;0,320226068644506;0,297812750186715;0,283601674163555;0,528812481088788
20;0,452906069938085;0,340318195958065;0,345054070025844;0,32825839410018;0,528812481088788
