"network_size";"mean_hurst"
5;0,253354295167639
6;0,273553448911044
7;0,1986105438066
8;0,206586838679375
9;0,229667423038057
10;0,188233903752054
11;0,238963959697643
12;0,165945528035785
13;0,192003938312398
14;0,190563450118687
15;0,181013246718675
16;0,214764030903575
17;0,174064303571808
18;0,183536694041462
19;0,155505111410068
20;0,182569842474899
