"sensors_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
10;1369;497;0,363038714390066;3,29551556765952;0,70960999887628
20;2782;673;0,241912293314162;6,48011234840966;0,94070140628167
30;4207;595;0,141430948419301;7,95418666074661;0,80779602156912
40;5556;746;0,134269258459323;10,628854259628;1,029336106221
50;6955;671;0,0964773544212797;12,6090335056453;0,9577017721694
60;8301;710;0,0855318636308878;15,3289049617005;0,90882725903126
70;9692;520;0,0536524969046636;18,8053911818177;0,74512688477604
80;11104;520;0,0468299711815562;16,5620624925904;0,80148372833012
90;12475;862;0,0690981963927856;23,7066914794689;1,1199811444381
100;13901;689;0,0495647795122653;22,6076217061375;0,94342823677924
