"sensors_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
10;1386;675;0,487012987012987;3,33277270990646;0,82354305001443
20;2785;400;0,143626570915619;3,72151611878261;0,53910817980187
30;4166;417;0,100096015362458;4,0771951023519;0,57713990559041
40;5530;496;0,0896925858951175;5,24870561090011;0,66296071598687
50;6939;258;0,0371811500216169;4,55563788080905;0,3470271095873
60;8367;719;0,0859328313613004;9,43460611550156;0,77340481167625
70;9678;618;0,0638561686298822;9,50980325206847;0,78291814891599
80;11112;339;0,0305075593952484;11,6284723872879;0,47823179897264
90;12514;810;0,0647275051941825;15,5093657589721;1,0397396307097
100;13862;620;0,0447265906795556;12,6041226083504;0,64351381860646
