"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;31;1404
2;2;67;3266
3;3;73;3290
4;4;68;2807
5;5;61;2390
6;6;60;2267
7;7;59;2232
8;8;58;2211
9;9;62;2388
10;10;60;2268
11;11;61;2353
12;12;58;2158
13;13;70;2886
14;14;78;3559
15;15;83;3900
16;16;64;2621
17;17;58;2155
18;18;59;2208
19;19;60;2325
20;20;61;2358
21;21;60;2290
22;22;62;2391
23;23;60;2342
24;24;63;2497
25;25;70;2992
26;26;64;2543
27;27;73;3158
28;28;86;4051
29;29;66;2649
30;30;60;2286
31;31;60;2272
32;32;61;2331
33;33;61;2328
34;34;58;2205
35;35;60;2264
36;36;58;2167
37;37;66;2720
38;38;69;2879
39;39;59;2244
40;40;73;3196
41;41;88;4152
42;42;65;2556
43;43;59;2229
44;44;62;2388
45;45;60;2300
46;46;61;2328
47;47;61;2309
48;48;62;2409
49;49;66;2760
50;50;67;2768
51;51;58;2240
52;52;67;2686
53;53;89;4281
54;54;67;2795
55;55;62;2311
56;56;61;2348
57;57;62;2408
58;58;61;2343
59;59;62;2365
60;60;61;2285
61;61;61;2343
62;62;68;2874
63;63;67;2726
64;64;60;2289
65;65;68;2811
66;66;88;4140
67;67;68;2807
68;68;59;2222
69;69;62;2360
70;70;61;2307
71;71;63;2410
72;72;60;2268
73;73;59;2222
74;74;63;2513
75;75;70;2948
76;76;63;2488
77;77;65;2609
78;78;83;3791
79;79;78;3509
80;80;65;2554
81;81;59;2231
82;82;62;2379
83;83;61;2350
84;84;57;2129
85;85;60;2293
86;86;61;2361
87;87;60;2285
88;88;69;2926
89;89;65;2597
90;90;74;3286
91;91;83;3847
92;92;64;2517
93;93;62;2425
94;94;61;2317
95;95;57;2133
96;96;58;2146
97;97;62;2355
98;98;59;2240
99;99;60;2276
100;100;68;2795
101;101;66;2719
102;102;66;2671
103;103;82;3771
104;104;81;3668
105;105;62;2382
106;106;60;2236
107;107;61;2314
108;108;60;2315
109;109;60;2283
110;110;59;2245
111;111;60;2305
112;112;62;2388
113;113;67;2755
114;114;70;2958
115;115;81;3731
116;116;80;3632
117;117;59;2260
118;118;58;2189
119;119;62;2364
120;120;59;2260
121;121;60;2238
122;122;61;2349
123;123;58;2217
124;124;60;2291
125;125;63;2445
126;126;67;2758
127;127;81;3670
128;128;82;3813
129;129;68;2832
130;130;59;2245
131;131;60;2298
132;132;59;2183
133;133;61;2325
134;134;60;2306
135;135;61;2282
136;136;60;2272
137;137;60;2284
138;138;59;2266
139;139;74;3227
140;140;86;4119
141;141;79;3601
142;142;59;2220
143;143;60;2300
144;144;56;2116
145;145;62;2391
146;146;60;2293
147;147;58;2194
148;148;64;2495
149;149;59;2219
150;150;61;2344
151;151;67;2768
152;152;91;4449
153;153;79;3596
154;154;61;2348
155;155;61;2301
156;156;61;2319
157;157;62;2361
158;158;62;2361
159;159;61;2334
160;160;59;2225
161;161;63;2403
162;162;60;2267
163;163;67;2713
164;164;81;3750
165;165;86;4002
166;166;64;2632
167;167;62;2341
168;168;59;2228
169;169;60;2318
170;170;59;2233
171;171;60;2285
172;172;61;2292
173;173;58;2185
174;174;58;2198
175;175;67;2788
176;176;86;4043
177;177;73;3125
178;178;69;2924
179;179;66;2694
180;180;62;2368
181;181;60;2288
182;182;57;2171
183;183;60;2304
184;184;60;2271
185;185;59;2214
186;186;60;2260
187;187;60;2298
188;188;83;3780
189;189;81;3735
190;190;59;2284
191;191;68;2869
192;192;68;2789
193;193;60;2271
194;194;61;2335
195;195;60;2291
196;196;59;2224
197;197;60;2296
198;198;58;2186
199;199;59;2238
200;200;71;3043
201;201;89;4261
202;202;66;2680
203;203;61;2367
204;204;67;2698
205;205;68;2842
206;206;61;2367
207;207;59;2243
208;208;61;2367
209;209;60;2281
210;210;60;2267
211;211;59;2253
212;212;62;2395
213;213;84;3889
214;214;78;3521
215;215;59;2289
216;216;71;3020
217;217;63;2487
218;218;59;2210
219;219;60;2279
220;220;61;2333
221;221;61;2292
222;222;61;2344
223;223;61;2302
224;224;64;2449
225;225;69;2900
226;226;87;4047
227;227;73;3101
228;228;71;2977
229;229;64;2590
230;230;63;2399
231;231;57;2132
232;232;61;2310
233;233;60;2308
234;234;58;2175
235;235;61;2296
236;236;60;2245
237;237;60;2277
238;238;66;2687
239;239;83;3796
240;240;76;3433
241;241;72;3093
242;242;61;2385
243;243;59;2207
244;244;60;2295
245;245;61;2357
246;246;60;2244
247;247;61;2286
248;248;59;2206
249;249;59;2226
250;250;58;2208
251;251;75;3233
252;252;84;3894
253;253;70;2960
254;254;70;2959
255;255;65;2619
256;256;58;2205
257;257;61;2322
258;258;60;2292
259;259;60;2283
260;260;62;2416
261;261;59;2208
262;262;64;2575
263;263;67;2814
264;264;62;2403
265;265;72;3185
266;266;78;3490
267;267;71;3011
268;268;63;2525
269;269;62;2368
270;270;60;2290
271;271;60;2246
272;272;59;2227
273;273;62;2348
274;274;71;2969
275;275;66;2664
276;276;60;2324
277;277;77;3436
278;278;77;3438
279;279;69;2904
280;280;59;2228
281;281;59;2246
282;282;61;2315
283;283;58;2192
284;284;59;2223
285;285;61;2404
286;286;72;3100
287;287;64;2539
288;288;62;2383
289;289;63;2473
290;290;76;3382
291;291;73;3167
292;292;68;2872
293;293;62;2457
294;294;60;2286
295;295;61;2333
296;296;63;2456
297;297;64;2567
298;298;73;3119
299;299;61;2331
300;300;61;2318
301;301;60;2286
302;302;77;3470
303;303;72;3139
304;304;66;2680
305;305;69;2924
306;306;60;2252
307;307;60;2315
308;308;62;2366
309;309;58;2203
310;310;66;2659
311;311;69;2916
312;312;58;2179
313;313;62;2386
314;314;66;2609
315;315;73;3171
316;316;75;3271
317;317;62;2407
318;318;69;2974
319;319;64;2550
320;320;59;2200
321;321;58;2170
322;322;60;2279
323;323;67;2811
324;324;67;2741
325;325;61;2312
326;326;61;2289
327;327;65;2655
328;328;80;3630
329;329;61;2343
330;330;63;2461
331;331;71;2979
332;332;61;2439
333;333;60;2283
334;334;57;2136
335;335;62;2440
336;336;69;2948
337;337;65;2549
338;338;60;2269
339;339;61;2333
340;340;74;3223
341;341;77;3364
342;342;63;2450
343;343;68;2857
