"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;20;1060
2;2;36;1883
3;3;36;1530
4;4;35;1402
5;5;34;1325
6;6;36;1412
7;7;35;1375
8;8;35;1391
9;9;33;1259
10;10;36;1424
11;11;35;1347
12;12;37;1464
13;13;42;1821
14;14;55;2709
15;15;40;1709
16;16;33;1321
17;17;37;1471
18;18;34;1338
19;19;35;1366
20;20;35;1403
21;21;35;1408
22;22;35;1370
23;23;38;1521
24;24;33;1256
25;25;40;1668
26;26;54;2697
27;27;42;1893
28;28;34;1329
29;29;37;1468
30;30;34;1295
31;31;35;1372
32;32;35;1392
33;33;35;1363
34;34;36;1435
35;35;36;1421
36;36;34;1342
37;37;36;1395
38;38;50;2436
39;39;47;2255
40;40;34;1308
41;41;34;1322
42;42;35;1385
43;43;37;1482
44;44;36;1404
45;45;36;1401
46;46;34;1315
47;47;35;1359
48;48;35;1364
49;49;33;1285
50;50;41;1798
51;51;56;2783
52;52;40;1699
53;53;36;1425
54;54;33;1284
55;55;35;1385
56;56;37;1488
57;57;36;1421
58;58;34;1340
59;59;34;1325
60;60;37;1483
61;61;35;1409
62;62;47;2168
63;63;51;2445
64;64;39;1627
65;65;37;1480
66;66;37;1484
67;67;34;1307
68;68;34;1332
69;69;36;1435
70;70;34;1327
71;71;34;1334
72;72;34;1312
73;73;36;1465
74;74;43;1960
75;75;57;2801
76;76;40;1699
77;77;33;1299
78;78;37;1478
79;79;34;1322
80;80;33;1277
81;81;33;1294
82;82;35;1386
83;83;37;1468
84;84;35;1393
85;85;35;1379
86;86;34;1319
87;87;45;2100
88;88;53;2587
89;89;38;1602
90;90;33;1273
91;91;36;1409
92;92;34;1333
93;93;36;1419
94;94;35;1397
95;95;36;1415
96;96;33;1294
97;97;37;1467
98;98;35;1380
99;99;35;1389
100;100;50;2416
101;101;47;2211
102;102;36;1433
103;103;34;1336
104;104;34;1351
105;105;34;1340
106;106;34;1353
107;107;35;1399
108;108;36;1414
109;109;34;1341
110;110;37;1490
111;111;34;1321
112;112;39;1644
113;113;52;2538
114;114;45;2069
115;115;36;1455
116;116;37;1468
117;117;35;1348
118;118;35;1366
119;119;33;1265
120;120;36;1439
121;121;35;1403
122;122;35;1384
123;123;35;1386
124;124;37;1582
125;125;47;2236
126;126;46;2124
127;127;35;1440
128;128;34;1337
129;129;36;1416
130;130;34;1318
131;131;35;1397
132;132;36;1434
133;133;34;1343
134;134;35;1419
135;135;38;1502
136;136;34;1330
137;137;40;1682
138;138;50;2390
139;139;43;1984
140;140;36;1419
141;141;37;1470
142;142;33;1286
143;143;34;1366
144;144;36;1421
145;145;36;1429
146;146;37;1498
147;147;33;1292
148;148;37;1491
149;149;44;1983
150;150;42;1869
151;151;37;1552
152;152;44;1979
153;153;35;1352
154;154;35;1391
155;155;36;1430
156;156;34;1332
157;157;36;1408
158;158;36;1428
159;159;38;1535
160;160;38;1535
161;161;44;2010
162;162;39;1662
163;163;40;1725
164;164;42;1899
165;165;35;1373
166;166;34;1328
167;167;35;1347
168;168;34;1344
169;169;36;1435
170;170;34;1323
171;171;37;1463
172;172;41;1718
173;173;42;1886
174;174;37;1477
175;175;40;1743
176;176;45;2079
177;177;34;1313
178;178;36;1440
179;179;35;1389
180;180;34;1356
181;181;37;1501
182;182;36;1402
183;183;34;1347
184;184;35;1376
185;185;33;1275
186;186;46;2103
187;187;49;2365
188;188;40;1707
189;189;36;1436
190;190;35;1388
191;191;34;1326
192;192;36;1436
193;193;33;1262
194;194;33;1271
195;195;37;1466
196;196;34;1306
197;197;35;1397
198;198;43;1947
199;199;53;2561
200;200;39;1648
201;201;36;1405
202;202;35;1364
203;203;33;1288
204;204;34;1337
205;205;35;1407
206;206;35;1360
207;207;37;1498
208;208;39;1574
209;209;36;1486
210;210;44;2024
211;211;40;1741
212;212;45;2046
213;213;38;1571
214;214;34;1290
215;215;35;1402
216;216;35;1372
217;217;34;1316
218;218;34;1299
219;219;36;1428
220;220;34;1348
221;221;38;1564
222;222;48;2225
223;223;40;1700
224;224;42;1824
225;225;45;2007
226;226;36;1416
227;227;34;1339
228;228;35;1356
229;229;34;1327
230;230;34;1323
231;231;34;1347
232;232;35;1393
233;233;34;1281
234;234;35;1395
235;235;45;2037
236;236;40;1701
237;237;41;1739
238;238;46;2111
239;239;35;1395
240;240;34;1351
241;241;36;1423
242;242;36;1432
243;243;36;1442
244;244;34;1314
245;245;37;1469
246;246;36;1435
247;247;35;1412
248;248;39;1671
249;249;48;2283
250;250;45;2051
251;251;38;1527
252;252;35;1398
253;253;35;1383
254;254;36;1405
255;255;34;1298
256;256;37;1465
257;257;35;1360
258;258;36;1444
259;259;35;1381
260;260;35;1419
261;261;43;1917
262;262;49;2355
263;263;43;1953
264;264;33;1271
265;265;35;1346
266;266;34;1323
