"slot_duration";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
0,01;523;0;0;2,3425439655666;0,30445455966611
0,02;510;111;0,217647058823529;2,75042962191625;0,36257860117639
0,03;518;213;0,411196911196911;3,24226558433184;0,44180466051437
0,04;524;293;0,559160305343511;3,60006435372055;0,49314720853005
0,05;514;320;0,622568093385214;3,68847556741511;0,49926360916101
0,06;522;348;0,666666666666667;4,00135858709153;0,53806145645244
0,07;523;393;0,751434034416826;4,25330431248314;0,56962464421527
0,08;516;382;0,74031007751938;4,19658990073994;0,53832895311902
0,09;519;418;0,805394990366089;4,61542207732431;0,5995572316848
0,1;525;432;0,822857142857143;4,72882533552671;0,60459553105312
0,11;530;432;0,815094339622642;4,96611523608204;0,62711243591866
0,12;526;390;0,741444866920152;4,79819213829476;0,55450834452131
0,13;517;435;0,841392649903288;5,10210470858561;0,61818621319614
0,14;525;394;0,750476190476191;4,92002935443033;0,52981386829371
0,15;520;420;0,807692307692308;5,1427811095212;0,56074478725893
0,16;537;393;0,731843575418994;5,14590093293786;0,48121707922757
0,17;527;387;0,734345351043643;5,16609732309251;0,47280189985284
0,18;526;343;0,652091254752852;5,15067579470592;0,42076334246135
0,19;530;330;0,622641509433962;5,12346622749493;0,40518115040483
0,2;519;317;0,610789980732177;5,12169283111143;0,37995346177811
0,21;516;296;0,573643410852713;5,04919503523933;0,35755711821497
0,22;531;274;0,516007532956685;5,18314490210573;0,35139587163275
0,23;526;264;0,501901140684411;5,15185935364669;0,32864999093741
0,24;528;245;0,464015151515151;5,24506230142645;0,31403530999507
0,25;526;230;0,437262357414449;5,33142515765827;0,29647431726017
0,26;530;228;0,430188679245283;5,33954034702258;0,29242002960257
0,27;526;216;0,4106463878327;5,39730408041959;0,28298758434475
0,28;521;199;0,381957773512476;5,42475266080176;0,26639627500734
0,29;522;198;0,379310344827586;5,44263711055999;0,26184336977156
0,3;520;198;0,380769230769231;5,38862475189419;0,25799909562511
