"slot_duration";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
0,01;4176;5;0,00119731800766284;56,2254283919605;1,7460595654931
0,02;4162;814;0,195579048534358;55,7206550462516;1,6839178535928
0,03;4171;1064;0,255094701510429;53,1483921164088;1,4575950538533
0,04;4148;939;0,226374156219865;51,5933780271646;1,2628775502044
0,05;4164;815;0,195725264169068;50,1733225690395;1,1196470795283
0,06;4156;698;0,167949951876805;48,9616949101984;1,0157818787034
0,07;4171;614;0,147206904818988;49,2028196918539;0,92824138942436
0,08;4142;534;0,12892322549493;49,2021681393341;0,86280877506804
0,09;4168;498;0,119481765834933;50,7174061913495;0,80833875975231
0,1;4161;451;0,108387406873348;50,4423826690734;0,76587540802424
0,11;4163;429;0,10305068460245;52,7716977289469;0,7746569702745
0,12;4181;385;0,092083233676154;54,0938692769962;0,74799152838825
0,13;4154;358;0,0861819932595089;55,9037015103169;0,74571191919817
0,14;4151;325;0,0782943868947242;58,1235474718219;0,73715362951471
0,15;4199;297;0,0707311264586806;58,2356255542201;0,75734473763084
0,16;4149;303;0,0730296456977585;60,8971514066898;0,72484170745476
0,17;4179;255;0,0610193826274228;60,7947387253623;0,74640299063239
0,18;4179;253;0,0605407992342666;63,621246993397;0,77439688971671
0,19;4155;253;0,0608904933814681;64,0760363254481;0,68453378344676
0,2;4153;222;0,0534553334938599;64,7520553312513;0,72624447137794
0,21;4172;204;0,0488974113135187;62,9648619798391;0,77749307014378
0,22;4173;210;0,0503235082674335;63,5674645397592;0,65498201500965
0,23;4191;195;0,0465282748747316;64,5168543349316;0,718327445455
0,24;4166;184;0,0441670667306769;66,0837815253233;0,7673105073721
0,25;4196;191;0,0455195424213537;64,99795543682;0,64693121601484
0,26;4164;170;0,0408261287223823;63,3669752194826;0,701249821061
0,27;4166;175;0,0420067210753721;62,612463368984;0,627401411161
0,28;4187;165;0,0394076904705039;64,2591675834324;0,66718852662915
0,29;4191;163;0,0388928656645192;63,7383721150184;0,67934372477425
0,3;4174;162;0,0388116914230954;64,5825164802269;0,63743290361466
