"slots_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
8;11112;339;11,6284723872879;0,0305075593952484
16;11104;520;16,5620624925904;0,0468299711815562
24;11087;645;26,1573815203521;0,0581762424461081
32;11058;638;32,7877429642745;0,0576957858563936
40;11044;678;43,0149806272011;0,0613908004346251
48;11076;711;54,2903789317843;0,064192849404117
56;11105;668;62,8966098106551;0,060153084196308
64;11061;659;72,6860345171097;0,0595786999367146
