"slots_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
8;1386;675;3,33277270990646;0,487012987012987
16;1369;497;3,29551556765952;0,363038714390066
24;1389;333;2,78274799124193;0,239740820734341
32;1399;251;2,53408481490633;0,179413867047891
40;1383;200;2,37468856937731;0,144613159797542
48;1379;159;2,24503125649732;0,11530094271211
56;1391;130;2,14404751351402;0,0934579439252336
64;1384;100;2,03671448911077;0,0722543352601156
