"slots_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
8;6939;258;0,0371811500216169;4,55563788080905;0,3470271095873
16;6955;671;0,0964773544212797;12,6090335056453;0,9577017721694
24;6904;721;0,104432213209733;18,9935243719543;1,1290507011357
32;6897;754;0,109322894011889;24,6523175954641;1,249750242177
40;6917;737;0,106549081971953;29,3247444194767;1,3526191478338
48;6955;727;0,104529115744069;36,2227333386729;1,4778897180677
56;6931;642;0,092627326504112;38,5556908675173;1,4397901064961
64;6951;527;0,0758164292907495;37,9023774254423;1,303571173308
