"slots_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
8;8367;719;9,43460611550156;0,0859328313613004
16;8301;710;15,3289049617005;0,0855318636308878
24;8313;755;22,6861276309449;0,0908216047155058
32;8307;708;27,969366858484;0,0852293246659444
40;8336;757;35,7523482457441;0,0908109404990403
48;8316;665;39,4022430433387;0,07996632996633
56;8320;708;49,3482858049078;0,0850961538461538
64;8334;637;53,81067250719;0,0764338852891769
