"slots_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
8;12514;810;0,0647275051941825;15,5093657589721;1,0397396307097
16;12475;862;0,0690981963927856;23,7066914794689;1,1199811444381
24;12461;648;0,0520022470106733;29,2944189666032;0,98731234106295
32;12455;611;0,0490566037735849;34,1360195348434;0,99651953300426
40;12502;759;0,0607102863541833;51,8766948758951;1,3381851510359
48;12480;743;0,0595352564102564;62,955007468542;1,4727294981796
56;12469;681;0,054615446306841;71,2026115234518;1,4916598759491
64;12547;638;0,0508488084801148;79,3688140231218;1,5489673565349
