"slots_number";"total_packets_sent";"total_packets_received";"total_energy_utilization";"packet_received_ratio"
8;9678;618;9,50980325206847;0,0638561686298822
16;9692;520;18,8053911818177;0,0536524969046636
24;9683;628;22,1657426537339;0,0648559330785913
32;9747;683;30,9765939930191;0,0700728429260285
40;9755;757;42,5146745196939;0,0776012301383906
48;9702;695;47,7361195852893;0,0716347144918573
56;9721;694;56,3124421866662;0,0713918321160374
64;9737;639;62,3710441187281;0,0656259628222245
