"slot_duration";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
0,05;4166;148;0,0355256841094575;35,0547009856205;1,6158606299456
0,1;4135;190;0,0459492140266022;43,9345915300049;1,3701626779591
0,15;4151;167;0,0402312695735967;1,98622756884689;0,36826744476259
0,2;4161;57;0,0136986301369863;67,0606688749545;1,2939779504286
0,25;4178;42;0,0100526567735759;71,1637634361399;1,203757269387
0,3;4151;30;0,00722717417489761;1,34410269145372;0,10845374736434
0,35;4151;10;0,0024090580582992;94,7827384135382;1,1564127782742
0,4;4170;11;0,0026378896882494;82,8999219766113;1,2340374528598
0,45;4150;26;0,00626506024096386;2,02704254357641;0,12667465833164
0,5;4170;2;0,000479616306954436;101,495754373613;0,98779278771534
0,55;4153;6;0,00144473874307729;98,4621241064041;0,91590465404416
0,6;4148;22;0,00530376084860174;2,32129039442747;0,17620375797584
0,65;4157;1;0,000240558094779889;111,558116317061;0,78751388915988
0,7;4162;2;0,000480538202787122;111,91922650484;0,79617496858104
0,75;4176;7;0,00167624521072797;2,77265352538071;0,11232152055663
0,8;4149;3;0,000723065798987708;111,094096989035;0,69173112697574
0,85;4161;2;0,000480653689017063;117,911995436533;0,57261194448777
0,9;4160;9;0,00216346153846154;3,51504522069304;0,12900405547066
0,95;4156;0;0;122,325308263204;0,57541134682959
1;4151;0;0;121,698482884095;0,54581454874236
