"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;530;228;0,430188679245283;5,33954034702258;0,29242002960257
10;1385;219;0,15812274368231;13,867559216884;0,29798537888484
15;1915;217;0,11331592689295;22,6150244833397;0,32553304297205
20;2763;225;0,0814332247557003;36,0043621534762;0,37337807992473
25;3309;201;0,0607434270172258;47,4578375375025;0,51015242431097
30;4164;170;0,0408261287223823;63,3669752194826;0,701249821061
35;4664;159;0,0340909090909091;78,0813846426572;0,86486418761328
40;5544;124;0,0223665223665224;97,6469221817449;1,1116019779403
45;6048;86;0,0142195767195767;115,725404802435;1,3442628211208
50;6915;76;0,0109906001446132;133,922771848738;1,4855513751868
