"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;519;317;0,610789980732177;5,12169283111143;0,37995346177811
10;1398;281;0,201001430615165;14,2275031591212;0,37767537150351
15;1901;272;0,14308258811152;22,2136857181042;0,39792791769226
20;2778;264;0,0950323974082073;35,7403187519826;0,4778739171524
25;3282;254;0,0773918342474101;47,4916276221814;0,56402829328715
30;4153;222;0,0534553334938599;64,7520553312513;0,72624447137794
35;4697;213;0,0453480945284224;77,2430148060003;0,85941177806665
40;5549;173;0,0311767886105605;95,0615360731456;1,0471144427667
45;6098;141;0,0231223351918662;108,675860768367;1,2260238850244
50;6941;115;0,0165682178360467;126,476658528192;1,3971630859001
