"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;521;199;0,381957773512476;5,42475266080176;0,26639627500734
10;1391;201;0,14450035945363;13,9438318999686;0,27713590028456
15;1911;201;0,105180533751962;21,9890665634201;0,30722469106446
20;2745;194;0,0706739526411658;35,1203346392103;0,38182820034468
25;3302;191;0,0578437310720775;47,1893119086802;0,44463088897027
30;4187;165;0,0394076904705039;64,2591675834324;0,66718852662915
35;4681;148;0,0316171758171331;77,4290153245833;0,81791306941257
40;5570;120;0,0215439856373429;97,2601406406886;1,0755164417691
45;6054;85;0,0140403039312851;115,494304252537;1,2857857144432
50;6859;51;0,00743548622248141;136,414845186925;1,545341045339
