"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;520;198;0,380769230769231;5,38862475189419;0,25799909562511
10;1381;187;0,135409123823316;14,038239838198;0,26059384165272
15;1905;192;0,100787401574803;21,4557937518394;0,29334415812322
20;2759;186;0,0674157303370786;33,7992377778818;0,3228116343279
25;3310;173;0,0522658610271903;47,1060199202485;0,44629146606745
30;4174;162;0,0388116914230954;64,5825164802269;0,63743290361466
35;4687;129;0,0275229357798165;80,3372928854221;0,88998494445863
40;5567;93;0,0167055864918268;98,7873040092779;1,1379704157048
45;6071;73;0,0120243781914017;113,468874718676;1,3263542490019
50;6945;53;0,00763138948884089;134,584477820731;1,487790224057
