"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;530;432;0,815094339622642;4,96611523608204;0,62711243591866
10;1390;456;0,328057553956835;12,559299925352;0,58274814387936
15;1916;447;0,233298538622129;19,4093598950021;0,60482113804048
20;2799;443;0,15827081100393;30,3766220154571;0,63721260490687
25;3301;442;0,133898818539836;39,9699285036163;0,68436180745429
30;4163;429;0,10305068460245;52,7716977289469;0,7746569702745
35;4662;401;0,086014586014586;63,9229037559982;0,84592811148127
40;5546;361;0,065091958168049;78,9702844321626;0,94838848473776
45;6068;324;0,0533948582729071;87,558321462196;1,0430064849289
50;6948;321;0,0462003454231434;105,952205710619;1,1084473984227
