"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;519;418;0,805394990366089;4,61542207732431;0,5995572316848
10;1381;576;0,41708906589428;12,8567433122463;0,69011604370127
15;1904;526;0,276260504201681;19,3127221036733;0,7001203886675
20;2783;520;0,186848724398132;29,2492882224945;0,72119368507137
25;3289;512;0,155670416539982;37,9605842235505;0,75910181780754
30;4168;498;0,119481765834933;50,7174061913495;0,80833875975231
35;4698;498;0,106002554278416;60,5392874493961;0,86329610248957
40;5558;463;0,0833033465275279;74,8797418940437;0,97190999324746
45;6076;422;0,0694535878867676;86,6405092576742;1,0519842686895
50;6931;362;0,0522291155677391;99,4728413047747;1,1253487207091
