"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;516;382;0,74031007751938;4,19658990073994;0,53832895311902
10;1394;634;0,45480631276901;13,0529022869724;0,75417804412155
15;1905;598;0,313910761154856;19,4957431902661;0,75232578545277
20;2800;562;0,200714285714286;28,8596949739245;0,77884836981761
25;3287;577;0,175540006084576;37,9138813855445;0,83247563727653
30;4142;534;0,12892322549493;49,2021681393341;0,86280877506804
35;4650;525;0,112903225806452;58,9012929330775;0,90272725018892
40;5582;521;0,093335721963454;72,3802788190069;0,97245436977613
45;6075;470;0,0773662551440329;84,2877627067572;1,0609332197135
50;6901;412;0,0597014925373134;97,4827780709004;1,1265319497307
