"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;522;198;0,379310344827586;5,44263711055999;0,26184336977156
10;1391;198;0,14234363767074;13,7842418049528;0,27524675390559
15;1906;198;0,103882476390346;21,6445334131926;0,27806649426891
20;2772;195;0,0703463203463204;35,743868733717;0,36592506271094
25;3289;187;0,0568561872909699;46,3921959307229;0,45826403473846
30;4191;163;0,0388928656645192;63,7383721150184;0,67934372477425
35;4682;127;0,0271251601879539;79,0843097133433;0,88254709989376
40;5529;105;0,0189907759088443;99,0685300643028;1,1424930481708
45;6043;82;0,0135694191626675;115,165972795561;1,2988994105075
50;6932;59;0,00851125216387767;136,394262249083;1,5356238054052
