"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;526;390;0,741444866920152;4,79819213829476;0,55450834452131
10;1386;425;0,306637806637807;12,5371224142062;0,54062937207883
15;1899;418;0,220115850447604;19,7812356469621;0,56977757015257
20;2759;414;0,150054367524465;30,8112929896314;0,60671435905807
25;3336;409;0,122601918465228;39,8815942998199;0,63605319530047
30;4181;385;0,092083233676154;54,0938692769962;0,74799152838825
35;4723;343;0,0726233326275672;65,2856804745752;0,8833816814457
40;5540;326;0,0588447653429603;78,6419901584544;0,94989595830349
45;6062;302;0,0498185417354009;92,009332029117;1,0560900495338
50;6938;250;0,0360334390314212;107,336097445116;1,169172692666
