"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;526;230;0,437262357414449;5,33142515765827;0,29647431726017
10;1398;221;0,158082975679542;13,9090545831472;0,30606949711131
15;1890;225;0,119047619047619;22,4190541541031;0,31666604938592
20;2781;225;0,0809061488673139;35,2822808797762;0,38046343698663
25;3292;213;0,0647023086269745;47,9837191416025;0,51921961479077
30;4196;191;0,0455195424213537;64,99795543682;0,64693121601484
35;4662;164;0,0351780351780352;78,2861577079967;0,88279325316411
40;5530;119;0,0215189873417722;99,3708168403019;1,1506936421927
45;6070;89;0,014662273476112;114,196131320266;1,3657713023695
50;6931;79;0,011398066657048;132,150245000562;1,4398231979936
