"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;525;432;0,822857142857143;4,72882533552671;0,60459553105312
10;1380;514;0,372463768115942;12,6410366840287;0,63714340642271
15;1914;485;0,253396029258098;19,4230183976828;0,63674390022438
20;2778;496;0,178545716342693;29,6695436754326;0,69194519339851
25;3299;475;0,143983025159139;38,9222033323036;0,71054226751567
30;4161;451;0,108387406873348;50,4423826690734;0,76587540802424
35;4702;441;0,0937898766482348;62,5066176868068;0,85923984523321
40;5537;389;0,0702546505327795;74,6342650018568;0,95925224939542
45;6093;378;0,0620384047267356;87,6988562659803;1,0415654129871
50;6943;324;0,0466657064669451;101,813150299812;1,1323786071759
