"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;516;296;0,573643410852713;5,04919503523933;0,35755711821497
10;1380;270;0,195652173913043;14,4195958936893;0,35483432549197
15;1913;260;0,135912179822269;22,6551532290301;0,38752956019907
20;2771;265;0,0956333453626849;35,5842846951428;0,45194882607361
25;3284;257;0,078258221680877;48,0253615659674;0,53709019840539
30;4172;204;0,0488974113135187;62,9648619798391;0,77749307014378
35;4697;188;0,0400255482222695;77,3431801270318;0,88083447181821
40;5523;148;0,026797030599312;95,3502642121377;1,1505969516712
45;6098;131;0,021482453263365;111,245717839334;1,2182641377004
50;6949;105;0,0151100877824147;127,19745547199;1,3734076775233
