"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;524;293;0,559160305343511;3,60006435372055;0,49314720853005
10;1387;843;0,607786589762076;13,5472341141933;1,0807574689607
15;1910;943;0,493717277486911;21,8776414483396;1,1763268009233
20;2787;971;0,348403301040545;31,9614254160816;1,2168862506942
25;3295;928;0,281638846737481;40,5473344433572;1,2276494174205
30;4148;939;0,226374156219865;51,5933780271646;1,2628775502044
35;4693;889;0,189431067547411;61,2391206069276;1,2946954767718
40;5554;851;0,153222902412676;72,5725191830259;1,3217768814351
45;6098;830;0,136110200065595;82,9628310956035;1,3515660615942
50;6949;779;0,112102460785725;95,4341792475614;1,3935882652984
