"slots_number";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
8;8367;719;0,0859328313613004;9,43460611550156;0,77340481167625
16;8301;710;0,0855318636308878;15,3289049617005;0,90882725903126
24;8313;755;0,0908216047155058;22,6861276309449;1,188333534984
32;8307;708;0,0852293246659444;27,969366858484;1,1963272898042
40;8336;757;0,0908109404990403;35,7523482457441;1,3995341723325
48;8316;665;0,07996632996633;39,4022430433387;1,3615651777501
56;8320;708;0,0850961538461538;49,3482858049078;1,559670209954
64;8334;637;0,0764338852891769;53,81067250719;1,5653694761492
