"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;537;393;0,731843575418994;5,14590093293786;0,48121707922757
10;1382;342;0,247467438494935;13,2495724341835;0,45454273699947
15;1907;340;0,178290508652334;21,2339217580036;0,45852388828224
20;2754;331;0,120188816267248;33,1781915093518;0,52026947734203
25;3308;314;0,0949214026602177;45,5088398359324;0,57075967575313
30;4149;303;0,0730296456977585;60,8971514066898;0,72484170745476
35;4721;278;0,058885829273459;73,9107884003254;0,8240476827445
40;5545;226;0,0407574391343553;88,3957978923905;1,0755438727622
45;6074;190;0,0312808692788936;102,449736589703;1,1471555548827
50;6968;160;0,0229621125143513;120,068637006708;1,2743643120944
