"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;514;320;0,622568093385214;3,68847556741511;0,49926360916101
10;1392;870;0,625;13,7476760052153;1,052936777482
15;1903;833;0,437729900157646;21,1695674722705;1,0376203814057
20;2778;836;0,30093592512599;30,9964092618033;1,0586689347438
25;3292;809;0,245747266099635;38,999372428382;1,0801433254731
30;4164;815;0,195725264169068;50,1733225690395;1,1196470795283
35;4698;786;0,167305236270753;58,947194180946;1,1282640045418
40;5544;709;0,127886002886003;71,6461186531797;1,1810521106075
45;6084;691;0,113576594345825;81,6015649587475;1,2236256381227
50;6938;657;0,0946958777745748;94,8098282160895;1,3047935799663
