"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;523;393;0,751434034416826;4,25330431248314;0,56962464421527
10;1371;691;0,50401167031364;12,995654951155;0,82836557181826
15;1913;668;0,349189754312598;20,0487922212846;0,82563361202376
20;2760;646;0,234057971014493;29,3287990362452;0,86048582963497
25;3310;632;0,190936555891239;37,8613686933613;0,8827501412603
30;4171;614;0,147206904818988;49,2028196918539;0,92824138942436
35;4687;602;0,128440366972477;58,8373628446472;0,98264013192607
40;5524;566;0,102461984069515;70,9780372445385;1,0119072257925
45;6050;510;0,084297520661157;81,9366436898983;1,0910907652711
50;6921;514;0,074266724461783;95,8566179775401;1,1613571875802
