"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;526;343;0,652091254752852;5,15067579470592;0,42076334246135
10;1379;300;0,217548948513416;13,4787952651559;0,41112356024293
15;1917;304;0,158581116327595;22,3560968365907;0,41367653025183
20;2775;293;0,105585585585586;35,1911235955079;0,51812672753014
25;3311;277;0,0836605255209906;46,3900500594183;0,57720133558684
30;4179;253;0,0605407992342666;63,621246993397;0,77439688971671
35;4687;216;0,0460849157243439;74,1411925176589;0,8643506844152
40;5567;188;0,0337704329082091;92,4942820779244;1,060927664623
45;6071;176;0,0289902816669412;106,69703973722;1,1237639607376
50;6935;123;0,0177361211247296;121,73062012921;1,3081282450665
