"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;523;0;0;2,3425439655666;0,30445455966611
10;1383;0;0;9,02443611778215;0,71164810661574
15;1906;0;0;17,2324805155636;0,97799307107121
20;2772;0;0;29,2315719137515;1,3114116100339
25;3275;5;0,00152671755725191;40,353088718272;1,4655769377608
30;4176;5;0,00119731800766284;56,2254283919605;1,7460595654931
35;4690;8;0,00170575692963753;66,7740985657419;1,8137288990979
40;5571;4;0,00071800394902172;79,7381940276231;1,8986368382492
45;6061;14;0,00230984985975912;91,3620357816916;1,9599604200461
50;6936;14;0,00201845444059977;102,69577851756;1,9907880876875
