"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;11;288
2;2;16;468
3;3;18;444
4;4;20;480
5;5;19;462
6;6;21;528
7;7;21;588
8;8;20;480
9;9;21;498
10;10;19;462
11;11;20;510
12;12;22;606
13;13;20;480
14;14;18;444
15;15;19;462
16;16;18;474
17;17;22;606
18;18;19;462
19;19;18;444
20;20;19;462
21;21;19;492
22;22;22;606
23;23;21;498
24;24;20;480
25;25;20;480
26;26;20;510
27;27;23;624
28;28;18;444
29;29;18;444
30;30;21;498
31;31;22;546
32;32;23;624
33;33;20;480
34;34;19;462
35;35;20;480
36;36;20;510
37;37;22;606
38;38;18;444
39;39;20;480
40;40;18;444
41;41;20;510
42;42;23;624
43;43;22;516
44;44;20;480
45;45;17;426
46;46;19;492
47;47;23;624
48;48;19;462
49;49;20;480
50;50;22;516
51;51;18;474
52;52;22;606
53;53;20;480
54;54;19;462
55;55;21;498
56;56;22;546
57;57;23;624
58;58;17;426
59;59;21;498
60;60;19;462
61;61;22;546
62;62;21;588
63;63;21;498
64;64;19;462
65;65;19;462
66;66;21;528
67;67;21;588
68;68;19;462
69;69;17;426
70;70;22;516
71;71;20;510
72;72;20;570
73;73;19;462
74;74;19;462
75;75;23;534
76;76;18;474
77;77;23;624
78;78;19;462
79;79;19;462
80;80;17;426
81;81;21;528
82;82;23;624
83;83;17;426
84;84;21;498
85;85;17;426
86;86;20;510
87;87;23;624
88;88;18;444
89;89;19;462
90;90;22;516
91;91;20;510
92;92;22;606
93;93;20;480
94;94;19;462
95;95;19;462
96;96;22;546
97;97;22;606
98;98;21;498
99;99;22;516
100;100;19;462
101;101;22;546
102;102;21;588
103;103;21;498
104;104;21;498
105;105;19;462
106;106;21;528
107;107;22;606
108;108;19;462
109;109;19;462
110;110;19;462
111;111;19;492
112;112;23;624
113;113;19;462
114;114;18;444
115;115;19;462
116;116;20;510
117;117;21;588
118;118;20;480
119;119;19;462
120;120;20;480
121;121;20;510
122;122;24;642
123;123;18;444
124;124;20;480
125;125;20;480
126;126;21;528
127;127;25;660
128;128;21;498
129;129;21;498
130;130;18;444
131;131;22;546
132;132;23;624
133;133;20;480
134;134;19;462
135;135;20;480
136;136;20;510
137;137;20;570
138;138;20;480
139;139;19;462
140;140;21;498
141;141;21;528
142;142;22;606
143;143;21;498
144;144;19;462
145;145;19;462
146;146;21;528
147;147;23;624
148;148;20;480
149;149;19;462
150;150;18;444
151;151;20;510
152;152;23;624
153;153;19;462
154;154;20;480
155;155;18;444
156;156;20;510
157;157;20;570
158;158;19;462
159;159;20;480
160;160;20;480
161;161;21;528
162;162;21;588
163;163;21;498
164;164;20;480
165;165;17;426
166;166;21;528
167;167;20;570
168;168;21;498
169;169;20;480
170;170;17;426
171;171;20;510
172;172;25;660
173;173;17;426
174;174;20;480
175;175;21;498
176;176;22;546
177;177;21;588
178;178;21;498
179;179;18;444
180;180;20;480
181;181;18;474
182;182;23;624
183;183;18;444
184;184;20;480
185;185;18;444
186;186;20;510
187;187;26;678
188;188;19;462
189;189;20;480
190;190;18;444
191;191;21;528
192;192;22;606
193;193;21;498
194;194;19;462
195;195;20;480
196;196;20;510
197;197;22;606
198;198;19;462
199;199;18;444
200;200;19;462
201;201;22;546
202;202;22;606
203;203;20;480
204;204;20;480
205;205;19;462
206;206;22;546
207;207;23;624
208;208;20;480
209;209;20;480
210;210;19;462
211;211;19;492
212;212;23;624
213;213;20;480
214;214;17;426
215;215;19;462
216;216;21;528
217;217;22;606
218;218;22;516
219;219;17;426
220;220;21;498
221;221;21;528
222;222;22;606
223;223;20;480
224;224;20;480
225;225;19;462
226;226;20;510
227;227;23;624
228;228;18;444
229;229;19;462
230;230;19;462
231;231;22;546
232;232;23;624
233;233;18;444
234;234;20;480
235;235;20;480
236;236;19;492
237;237;22;606
238;238;19;462
239;239;19;462
240;240;21;498
241;241;22;546
242;242;21;588
243;243;18;444
244;244;21;498
245;245;18;444
246;246;21;528
247;247;21;588
248;248;19;462
249;249;21;498
250;250;21;498
251;251;19;492
252;252;24;642
253;253;20;480
254;254;20;480
255;255;20;480
256;256;22;546
257;257;23;624
258;258;19;462
259;259;18;444
260;260;20;480
261;261;19;492
262;262;22;606
263;263;22;516
264;264;18;444
265;265;20;480
266;266;20;510
267;267;22;606
268;268;20;480
269;269;21;498
270;270;21;498
271;271;19;492
272;272;24;642
273;273;20;480
274;274;18;444
275;275;21;498
276;276;18;474
277;277;23;624
278;278;19;462
279;279;19;462
280;280;20;480
281;281;19;492
282;282;23;624
283;283;19;462
284;284;20;480
285;285;21;498
286;286;21;528
287;287;21;588
288;288;18;444
289;289;23;534
290;290;20;480
291;291;20;510
292;292;23;624
293;293;18;444
294;294;18;444
295;295;21;498
296;296;19;492
297;297;22;606
298;298;20;480
299;299;18;444
300;300;20;480
301;301;22;546
302;302;23;624
303;303;20;480
304;304;19;462
305;305;19;462
306;306;20;510
307;307;23;624
308;308;19;462
309;309;21;498
310;310;19;462
311;311;21;528
312;312;21;588
313;313;19;462
314;314;20;480
315;315;19;462
316;316;21;528
317;317;24;642
318;318;17;426
319;319;20;480
320;320;21;498
321;321;19;492
322;322;22;606
323;323;20;480
324;324;20;480
325;325;19;462
326;326;20;510
327;327;24;642
328;328;18;444
329;329;18;444
330;330;21;498
331;331;20;510
332;332;22;606
333;333;18;444
334;334;18;444
335;335;21;498
336;336;18;474
337;337;23;624
338;338;19;462
339;339;17;426
340;340;21;498
341;341;20;510
342;342;22;606
343;343;21;498
344;344;18;444
345;345;18;444
346;346;21;528
347;347;23;624
348;348;19;462
349;349;20;480
350;350;19;462
351;351;20;510
352;352;23;624
353;353;19;462
354;354;18;444
355;355;19;462
356;356;20;510
357;357;21;588
358;358;19;462
359;359;19;462
360;360;20;480
361;361;21;528
362;362;22;606
363;363;19;462
364;364;18;444
365;365;19;462
366;366;21;528
367;367;22;606
368;368;20;480
369;369;18;444
370;370;21;498
371;371;20;510
372;372;23;624
373;373;19;462
374;374;18;444
375;375;21;498
376;376;21;528
377;377;23;624
378;378;20;480
379;379;19;462
380;380;21;498
381;381;21;528
382;382;22;606
383;383;19;462
384;384;21;498
385;385;20;480
386;386;21;528
387;387;23;624
388;388;20;480
389;389;21;498
390;390;19;462
391;391;21;528
392;392;22;606
393;393;20;480
394;394;20;480
395;395;20;480
396;396;20;510
397;397;22;606
398;398;19;462
399;399;21;498
400;400;19;462
401;401;20;510
402;402;22;606
403;403;20;480
404;404;20;480
405;405;18;444
406;406;19;492
407;407;23;624
408;408;19;462
409;409;18;444
410;410;18;444
411;411;21;528
412;412;22;606
413;413;20;480
414;414;18;444
415;415;19;462
416;416;19;492
417;417;23;624
418;418;20;480
419;419;19;462
420;420;20;480
421;421;20;510
422;422;23;624
423;423;21;498
424;424;19;462
425;425;20;480
426;426;20;510
427;427;20;570
428;428;20;480
429;429;18;444
430;430;19;462
431;431;22;546
432;432;22;606
433;433;19;462
434;434;21;498
435;435;18;444
436;436;21;528
437;437;22;606
438;438;20;480
439;439;21;498
440;440;21;498
441;441;21;528
442;442;22;606
443;443;19;462
444;444;19;462
445;445;17;426
