"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;2;81
2;2;4;132
3;3;5;120
4;4;4;102
5;5;5;120
6;6;7;186
7;7;5;150
8;8;6;138
9;9;5;120
10;10;5;120
11;11;6;168
12;12;6;168
13;13;5;120
14;14;5;120
15;15;5;120
16;16;6;168
17;17;5;150
18;18;5;120
19;19;4;102
20;20;5;120
21;21;7;186
22;22;5;150
23;23;6;138
24;24;4;102
25;25;5;120
26;26;6;168
27;27;5;150
28;28;6;138
29;29;5;120
30;30;6;138
31;31;5;150
32;32;6;168
33;33;4;102
34;34;5;120
35;35;5;120
36;36;6;168
37;37;6;168
38;38;5;120
39;39;5;120
40;40;5;120
41;41;6;168
42;42;5;150
43;43;4;102
44;44;6;138
45;45;5;120
46;46;6;168
47;47;5;150
48;48;6;138
49;49;5;120
50;50;5;120
51;51;6;168
52;52;5;150
53;53;4;102
54;54;5;120
55;55;5;120
56;56;5;150
57;57;6;168
58;58;4;102
59;59;5;120
60;60;5;120
61;61;6;168
62;62;7;186
63;63;5;120
64;64;5;120
65;65;5;120
66;66;6;168
67;67;5;150
68;68;6;138
69;69;5;120
70;70;4;102
71;71;6;168
72;72;5;150
73;73;5;120
74;74;6;138
75;75;4;102
76;76;6;168
77;77;6;168
78;78;5;120
79;79;4;102
80;80;5;120
81;81;6;168
82;82;5;150
83;83;5;120
84;84;4;102
85;85;5;120
86;86;6;168
87;87;6;168
88;88;4;102
89;89;6;138
90;90;5;120
91;91;5;150
92;92;6;168
93;93;5;120
94;94;6;138
95;95;4;102
96;96;6;168
97;97;6;168
98;98;4;102
99;99;5;120
100;100;5;120
101;101;6;168
102;102;6;168
103;103;5;120
104;104;4;102
105;105;6;138
106;106;5;150
107;107;6;168
108;108;5;120
109;109;5;120
110;110;5;120
111;111;6;168
112;112;6;168
113;113;4;102
114;114;5;120
115;115;5;120
116;116;6;168
117;117;6;168
118;118;5;120
119;119;5;120
120;120;5;120
121;121;5;150
122;122;7;186
123;123;4;102
124;124;4;102
125;125;6;138
126;126;6;168
127;127;6;168
128;128;4;102
129;129;6;138
130;130;5;120
131;131;6;168
132;132;6;168
133;133;4;102
134;134;5;120
135;135;5;120
136;136;6;168
137;137;5;150
138;138;5;120
139;139;5;120
140;140;5;120
141;141;6;168
142;142;6;168
143;143;5;120
144;144;5;120
145;145;5;120
146;146;5;150
147;147;6;168
148;148;5;120
149;149;5;120
150;150;5;120
151;151;6;168
152;152;5;150
153;153;6;138
154;154;4;102
155;155;5;120
156;156;6;168
157;157;6;168
158;158;6;138
159;159;6;138
160;160;4;102
161;161;6;168
162;162;5;150
163;163;5;120
164;164;4;102
165;165;5;120
166;166;6;168
167;167;5;150
168;168;5;120
169;169;5;120
170;170;5;120
171;171;6;168
172;172;6;168
173;173;5;120
174;174;5;120
175;175;4;102
176;176;6;168
177;177;6;168
178;178;4;102
179;179;5;120
180;180;4;102
181;181;6;168
182;182;6;168
183;183;4;102
184;184;5;120
185;185;5;120
186;186;6;168
187;187;5;150
188;188;5;120
189;189;4;102
190;190;5;120
191;191;6;168
192;192;6;168
193;193;5;120
194;194;4;102
195;195;5;120
196;196;6;168
197;197;6;168
198;198;5;120
199;199;5;120
200;200;4;102
201;201;6;168
202;202;7;186
203;203;5;120
204;204;4;102
205;205;4;102
206;206;6;168
207;207;6;168
208;208;6;138
209;209;4;102
210;210;5;120
211;211;7;186
212;212;6;168
213;213;6;138
214;214;4;102
215;215;5;120
216;216;5;150
217;217;6;168
218;218;4;102
219;219;5;120
220;220;5;120
221;221;6;168
222;222;5;150
223;223;5;120
224;224;5;120
225;225;5;120
226;226;6;168
227;227;5;150
228;228;5;120
229;229;5;120
230;230;4;102
231;231;6;168
232;232;5;150
233;233;5;120
234;234;5;120
235;235;5;120
236;236;5;150
237;237;6;168
238;238;5;120
239;239;5;120
240;240;5;120
241;241;5;150
242;242;7;186
243;243;5;120
244;244;5;120
245;245;4;102
246;246;5;150
247;247;6;168
248;248;4;102
249;249;5;120
250;250;5;120
251;251;6;168
252;252;6;168
253;253;5;120
254;254;5;120
255;255;5;120
256;256;6;168
257;257;6;168
258;258;5;120
259;259;6;138
260;260;4;102
261;261;6;168
262;262;7;186
263;263;4;102
264;264;5;120
265;265;5;120
266;266;5;150
267;267;6;168
268;268;4;102
269;269;6;138
270;270;5;120
271;271;5;150
272;272;5;150
273;273;4;102
274;274;6;138
275;275;4;102
276;276;6;168
277;277;6;168
278;278;4;102
279;279;5;120
280;280;5;120
281;281;6;168
282;282;6;168
283;283;5;120
284;284;5;120
285;285;5;120
286;286;5;150
287;287;6;168
288;288;5;120
289;289;4;102
290;290;6;138
291;291;5;150
292;292;7;186
293;293;4;102
294;294;5;120
295;295;5;120
296;296;6;168
297;297;6;168
298;298;4;102
299;299;5;120
300;300;5;120
301;301;6;168
302;302;7;186
303;303;5;120
304;304;4;102
305;305;5;120
306;306;5;150
307;307;6;168
308;308;6;138
309;309;5;120
310;310;5;120
311;311;6;168
312;312;6;168
313;313;5;120
314;314;5;120
315;315;4;102
316;316;7;186
317;317;5;150
318;318;6;138
319;319;4;102
320;320;5;120
321;321;5;150
322;322;6;168
323;323;5;120
324;324;5;120
325;325;4;102
326;326;6;168
327;327;6;168
328;328;5;120
329;329;5;120
330;330;5;120
331;331;6;168
332;332;6;168
333;333;5;120
334;334;5;120
335;335;5;120
336;336;6;168
337;337;5;150
338;338;5;120
339;339;5;120
340;340;4;102
341;341;5;150
342;342;6;168
343;343;6;138
344;344;5;120
345;345;5;120
346;346;6;168
347;347;6;168
348;348;5;120
349;349;5;120
350;350;5;120
351;351;6;168
352;352;5;150
353;353;5;120
354;354;4;102
355;355;5;120
356;356;6;168
357;357;6;168
358;358;5;120
359;359;4;102
360;360;7;156
361;361;6;168
362;362;5;150
363;363;5;120
364;364;4;102
365;365;5;120
366;366;5;150
367;367;6;168
368;368;5;120
369;369;6;138
370;370;5;120
371;371;6;168
372;372;5;150
373;373;6;138
374;374;5;120
375;375;5;120
376;376;5;150
377;377;5;150
378;378;5;120
379;379;5;120
380;380;4;102
381;381;6;168
382;382;5;150
383;383;5;120
384;384;6;138
385;385;4;102
386;386;5;150
387;387;6;168
388;388;5;120
389;389;5;120
390;390;4;102
391;391;7;186
392;392;5;150
393;393;5;120
394;394;5;120
395;395;4;102
396;396;7;186
397;397;5;150
398;398;5;120
399;399;5;120
400;400;4;102
401;401;6;168
402;402;6;168
403;403;4;102
404;404;5;120
405;405;5;120
406;406;5;150
407;407;5;150
408;408;5;120
409;409;6;138
410;410;5;120
411;411;6;168
412;412;6;168
413;413;5;120
414;414;5;120
415;415;5;120
416;416;6;168
417;417;6;168
418;418;5;120
419;419;4;102
420;420;4;102
421;421;6;168
422;422;6;168
423;423;4;102
424;424;5;120
425;425;5;120
426;426;6;168
427;427;5;150
428;428;6;138
429;429;4;102
430;430;6;138
431;431;6;168
432;432;6;168
433;433;5;120
434;434;4;102
435;435;5;120
436;436;6;168
437;437;6;168
438;438;5;120
439;439;4;102
440;440;4;102
441;441;6;168
442;442;5;150
443;443;5;120
444;444;4;102
445;445;6;138
446;446;6;168
447;447;5;150
448;448;5;120
449;449;5;120
450;450;4;102
451;451;6;168
452;452;6;168
453;453;5;120
454;454;5;120
455;455;4;102
456;456;6;168
457;457;6;168
458;458;5;120
459;459;5;120
460;460;5;120
461;461;5;150
462;462;6;168
463;463;4;102
464;464;5;120
465;465;5;120
466;466;6;168
467;467;5;150
468;468;5;120
469;469;5;120
470;470;5;120
471;471;7;186
472;472;6;168
473;473;5;120
474;474;5;120
475;475;5;120
476;476;6;168
477;477;6;168
478;478;5;120
479;479;5;120
480;480;5;120
481;481;6;168
482;482;6;168
483;483;4;102
484;484;5;120
485;485;5;120
486;486;5;150
487;487;6;168
488;488;6;138
489;489;4;102
490;490;5;120
491;491;6;168
492;492;6;168
493;493;5;120
494;494;4;102
495;495;4;102
496;496;6;168
497;497;7;186
498;498;5;120
499;499;5;120
500;500;4;102
501;501;6;168
502;502;6;168
503;503;5;120
504;504;5;120
505;505;4;102
506;506;6;168
507;507;6;168
508;508;4;102
509;509;5;120
510;510;5;120
511;511;6;168
512;512;6;168
513;513;5;120
514;514;5;120
515;515;5;120
516;516;6;168
517;517;7;186
518;518;5;120
519;519;4;102
520;520;6;138
521;521;6;168
522;522;6;168
523;523;6;138
524;524;4;102
525;525;5;120
526;526;6;168
527;527;6;168
528;528;6;138
529;529;5;120
530;530;4;102
531;531;6;168
532;532;6;168
533;533;5;120
534;534;5;120
535;535;5;120
536;536;6;168
537;537;6;168
538;538;5;120
539;539;5;120
540;540;5;120
541;541;7;186
542;542;6;168
543;543;4;102
544;544;5;120
545;545;5;120
546;546;5;150
547;547;6;168
548;548;5;120
549;549;4;102
550;550;5;120
551;551;5;150
552;552;6;168
553;553;5;120
554;554;4;102
555;555;5;120
556;556;6;168
557;557;6;168
558;558;5;120
559;559;6;138
560;560;5;120
561;561;7;186
562;562;5;150
563;563;5;120
564;564;5;120
565;565;5;120
566;566;7;186
567;567;5;150
568;568;6;138
569;569;5;120
570;570;5;120
571;571;6;168
572;572;5;150
573;573;5;120
574;574;4;102
575;575;5;120
576;576;7;186
577;577;6;168
578;578;4;102
579;579;5;120
580;580;5;120
581;581;6;168
582;582;6;168
583;583;5;120
584;584;5;120
585;585;5;120
586;586;6;168
587;587;6;168
588;588;4;102
589;589;5;120
590;590;6;138
591;591;6;168
592;592;6;168
593;593;5;120
594;594;6;138
595;595;5;120
