"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;16;423
2;2;18;459
3;3;20;495
4;4;17;411
5;5;21;483
6;6;20;525
7;7;22;531
8;8;18;459
9;9;19;447
10;10;18;429
11;11;19;507
12;12;18;459
13;13;19;477
14;14;21;483
15;15;18;429
16;16;21;543
17;17;18;459
18;18;19;477
19;19;20;465
20;20;18;429
21;21;20;525
22;22;18;459
23;23;21;513
24;24;18;429
25;25;19;447
26;26;18;489
27;27;20;495
28;28;21;513
29;29;19;447
30;30;17;411
31;31;21;543
32;32;20;495
33;33;18;459
34;34;18;429
35;35;19;447
36;36;21;543
37;37;19;477
38;38;20;495
39;39;19;447
40;40;20;465
41;41;19;507
42;42;20;495
43;43;20;495
44;44;17;411
45;45;19;447
46;46;20;525
47;47;19;477
48;48;20;495
49;49;19;447
50;50;17;411
51;51;21;543
52;52;19;477
53;53;20;495
54;54;19;447
55;55;18;429
56;56;19;507
57;57;19;477
58;58;21;513
59;59;19;447
60;60;19;447
61;61;22;561
62;62;19;477
63;63;19;477
64;64;18;429
65;65;19;447
66;66;19;507
67;67;21;513
68;68;17;441
69;69;18;429
70;70;19;447
71;71;19;507
72;72;20;495
73;73;20;495
74;74;17;411
75;75;22;501
76;76;21;543
77;77;18;459
78;78;21;513
79;79;18;429
80;80;17;411
81;81;20;525
82;82;20;495
83;83;19;477
84;84;18;429
85;85;19;447
86;86;21;543
87;87;20;495
88;88;22;531
89;89;18;429
90;90;19;447
91;91;21;543
92;92;20;495
93;93;20;495
94;94;20;465
95;95;19;447
96;96;19;507
97;97;17;441
98;98;19;477
99;99;18;429
100;100;20;465
101;101;21;543
102;102;18;459
103;103;21;513
104;104;16;393
105;105;19;447
106;106;22;561
107;107;21;513
108;108;17;441
109;109;19;447
110;110;18;429
111;111;21;543
112;112;18;459
113;113;22;531
114;114;18;429
115;115;18;429
116;116;21;543
117;117;20;495
118;118;18;459
119;119;19;447
120;120;18;429
121;121;21;543
122;122;20;495
123;123;20;495
124;124;18;429
125;125;19;447
126;126;20;525
127;127;17;441
128;128;20;495
129;129;17;411
130;130;19;447
131;131;19;507
132;132;20;495
133;133;20;495
134;134;19;447
135;135;19;447
136;136;19;507
137;137;20;495
138;138;18;459
139;139;20;465
140;140;21;483
141;141;18;489
142;142;21;513
143;143;20;495
144;144;19;447
145;145;17;411
146;146;20;525
147;147;19;477
148;148;19;477
