"window_number";"window_end_time";"packets_number";"total_packets_size"
1;1;7;186
2;2;10;255
3;3;10;270
4;4;11;258
5;5;9;222
6;6;11;288
7;7;11;288
8;8;10;270
9;9;10;240
10;10;9;222
11;11;11;288
12;12;11;288
13;13;11;288
14;14;10;240
15;15;10;240
16;16;11;288
17;17;12;306
18;18;11;288
19;19;10;240
20;20;9;222
21;21;10;270
22;22;10;270
23;23;11;288
24;24;10;240
25;25;10;240
26;26;10;270
27;27;11;288
28;28;10;270
29;29;9;222
30;30;10;240
31;31;10;270
32;32;12;306
33;33;10;270
34;34;10;240
35;35;10;240
36;36;10;270
37;37;10;270
38;38;12;306
39;39;9;222
40;40;10;240
41;41;11;288
42;42;10;270
43;43;11;288
44;44;9;222
45;45;11;258
46;46;10;270
47;47;12;306
48;48;11;288
49;49;9;222
50;50;10;240
51;51;10;270
52;52;10;270
53;53;11;288
54;54;9;222
55;55;11;258
56;56;10;270
57;57;11;288
58;58;12;306
59;59;10;240
60;60;10;240
61;61;11;288
62;62;9;252
63;63;11;288
64;64;10;240
65;65;9;222
66;66;11;288
67;67;10;270
68;68;10;270
69;69;10;240
70;70;10;240
71;71;12;306
72;72;11;288
73;73;11;288
74;74;9;222
75;75;10;240
76;76;10;270
77;77;10;270
78;78;11;288
79;79;10;240
80;80;9;222
81;81;11;288
82;82;10;270
83;83;11;288
84;84;10;240
85;85;9;222
86;86;10;270
87;87;11;288
88;88;10;270
89;89;9;222
90;90;9;222
91;91;10;270
92;92;11;288
93;93;10;270
94;94;11;258
95;95;11;258
96;96;10;270
97;97;10;270
98;98;11;288
99;99;10;240
100;100;10;240
101;101;11;288
102;102;11;288
103;103;12;306
104;104;10;240
105;105;10;240
106;106;12;306
107;107;11;288
108;108;11;288
109;109;10;240
110;110;10;240
111;111;11;288
112;112;10;270
113;113;11;288
114;114;9;222
115;115;10;240
116;116;11;288
117;117;10;270
118;118;11;288
119;119;9;222
120;120;8;204
121;121;11;288
122;122;12;306
123;123;11;288
124;124;9;222
125;125;10;240
126;126;10;270
127;127;12;306
128;128;9;252
129;129;10;240
130;130;8;204
131;131;11;288
132;132;10;270
133;133;11;288
134;134;9;222
135;135;10;240
136;136;9;252
137;137;10;270
138;138;12;306
139;139;9;222
140;140;10;240
141;141;11;288
142;142;10;270
143;143;11;288
144;144;9;222
145;145;10;240
146;146;12;306
147;147;9;252
148;148;11;288
149;149;10;240
150;150;9;222
151;151;10;270
152;152;14;342
153;153;9;252
154;154;10;240
155;155;9;222
156;156;10;270
157;157;9;252
158;158;11;288
159;159;10;240
160;160;9;222
161;161;13;324
162;162;10;270
163;163;10;270
164;164;10;240
165;165;10;240
166;166;11;288
