"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;521;0;0;2,77103288526004;0,73733691345126
10;1377;0;0;7,86888157395711;1,4137109431498
15;1899;0;0;11,4064917693786;1,6035313735643
20;2772;0;0;18,0665741665774;1,6061651366031
25;3306;0;0;22,5360865267604;1,6310947807926
30;4178;0;0;30,9219439831889;1,6495064219389
35;4674;0;0;36,412738503706;1,6948641344591
40;5561;0;0;45,7650300823173;1,7207515021681
45;6104;0;0;50,9617615474953;1,7057260227235
50;6932;0;0;59,6398033706297;1,7333618077975
