"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;507;53;0,104536489151874;0,75614095425525;0,12144261852557
10;1371;69;0,050328227571116;1,2581318058856;0,17372539112108
15;1913;66;0,0345007841087297;1,2442940118276;0,14651253037306
20;2767;66;0,0238525478857969;1,43429329680031;0,17593417380429
25;3295;51;0,0154779969650986;1,53519300450038;0,16216128206666
30;4171;55;0,0131862862622872;1,66274088309051;0,16952680155717
35;4724;27;0,00571549534292972;1,44879362004366;0,097413055188933
40;5548;68;0,0122566690699351;2,38041874688146;0,20573850930683
45;6084;8;0,00131492439184747;1,82470486987927;0,067566775826606
50;6931;49;0,00706968691386524;2,58880573427599;0,14180882901021
