"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;524;429;0,818702290076336;3,47023169782347;0,80946628853471
10;1390;384;0,276258992805755;11,4284278460928;1,0845490750419
15;1923;338;0,175767030681227;14,7626392676547;1,1133480893191
20;2781;242;0,0870190578928443;22,7349143547052;1,1904212581005
25;3292;215;0,0653098420413123;29,963690208868;1,2385790100804
30;4175;142;0,0340119760479042;45,4939906085156;1,335830309489
35;4669;101;0,021632041122296;57,4269671542816;1,3271602766227
40;5528;61;0,0110347322720695;73,9512809715792;1,3573843846228
45;6075;38;0,00625514403292181;86,128720463971;1,313390012896
50;6919;15;0,00216794334441393;103,345424812537;1,1917703603901
