"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;515;212;0,411650485436893;5,73123829165259;0,57201105325038
10;1369;191;0,139517896274653;11,9296588811281;0,74514462521416
15;1901;164;0,0862703840084166;15,1022805472474;0,79603853537174
20;2760;155;0,0561594202898551;22,8843683525841;0,91435969577603
25;3299;81;0,0245528948166111;42,9313040494273;1,1362302035671
30;4178;15;0,00359023456199138;88,3918566228756;1,19610448089
35;4669;5;0,00107089312486614;108,731133196078;0,92021785540394
40;5544;1;0,00018037518037518;135,641373381571;0,4962294016378
45;6052;2;0,000330469266358229;152,244887842955;0,33696359952895
50;6914;2;0,000289268151576511;175,8740302959;0,29786840181124
