"network_size";"total_packets_sent";"total_packets_received";"packet_received_ratio";"total_energy_utilization";"gateway_energy_utilization"
5;529;441;0,833648393194707;3,35887735469352;0,82046307210185
10;1391;408;0,293314162473041;10,9255973097896;1,1101128215607
15;1917;387;0,2018779342723;14,2477995423238;1,1547857284102
20;2764;299;0,108176555716353;22,0449009942946;1,2076509818418
25;3306;258;0,0780399274047187;29,024324125629;1,290647103686
30;4151;198;0,0476993495543243;45,041205380645;1,3741618662768
35;4683;168;0,0358744394618834;52,5509030360363;1,3654127272842
40;5529;90;0,0162778079218665;70,5520593801539;1,4060215242336
45;6078;62;0,0102007239223429;79,40201512619;1,4037397456437
50;6931;35;0,0050497763670466;95,8195935666715;1,2958050426907
